,Unnamed: 0,word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,sensorimotor_distance,action_distance,perceptual_distance,baseline_distance
19,19,bail,He bailed out the prisoner.,He bailed out the liquid.,False,Homonymy,prisoner,liquid,M1_a_M2_b,V,0.666666667,1.0,0.333333333,9,0.707106781,0.287322104,0.099640667,0.23570226,M1_a,M2_b,0.0368130350471754,0.0387012919056358,0.0148034235368083,0.1445189137560502
20,20,bail,He bailed out the defendant.,He bailed out the water.,False,Homonymy,defendant,water,M1_b_M2_a,V,0.75,0.5,0.25,8,0.88640526,0.443184912,0.110985637,0.313391585,M1_b,M2_a,0.1133026708591136,0.1281859488720206,0.0752055304782058,0.13445845398456113
21,21,bail,He bailed out the defendant.,He bailed out the liquid.,False,Homonymy,defendant,liquid,M1_b_M2_b,V,0.764705882,1.0,0.235294118,17,0.752446989,0.42926693,0.120074809,0.182495201,M1_b,M2_b,0.1081198167548839,0.1507527528315678,0.0600271142114098,0.14169925894094126
22,22,bail,He bailed out the prisoner.,He bailed out the defendant.,True,Homonymy,prisoner,defendant,M1_a_M1_b,V,3.083333333,4.0,0.916666667,12,1.378954369,0.140995204,0.084383667,0.398069838,M1_a,M1_b,0.057954119990785,0.0383120825848561,0.0350764480514923,0.05363381594555683
23,23,bail,He bailed out the water.,He bailed out the liquid.,True,Homonymy,water,liquid,M2_a_M2_b,V,3.083333333,3.5,0.416666667,12,1.083624669,0.126403391,0.065280318,0.312815497,M2_a,M2_b,0.0310697487329242,0.0183312865451231,0.0145067477894028,0.014713084488679584
24,24,band,It was a gold band.,It was a jazz band.,False,Homonymy,gold,jazz,M1_a_M2_a,N,0.2,0.0,0.2,10,0.421637021,0.449524701,0.073461235,0.133333333,M1_a,M2_a,0.10419572318735,0.065136494409194,0.1274059389119566,0.479542858703048
25,25,band,It was a gold band.,It was a country band.,False,Homonymy,gold,country,M1_a_M2_b,N,0.384615385,0.0,0.384615385,13,0.506369684,0.455853581,0.076260746,0.140441681,M1_a,M2_b,0.1070594847100955,0.0492435631422951,0.1418856268545451,0.21736127149461304
26,26,band,It was a rubber band.,It was a jazz band.,False,Homonymy,rubber,jazz,M1_b_M2_a,N,0.333333333,0.0,0.333333333,12,0.651338947,0.482806385,0.080441296,0.188025358,M1_b,M2_a,0.1291079906840325,0.0574128997592514,0.1613750896550962,0.5818364742112737
27,27,band,It was a rubber band.,It was a country band.,False,Homonymy,rubber,country,M1_b_M2_b,N,0.1,0.0,0.1,10,0.316227766,0.484228253,0.089959681,0.1,M1_b,M2_b,0.1383368878076767,0.0312098448804695,0.1891194009470342,0.32539910354959
28,28,band,It was a gold band.,It was a rubber band.,True,Homonymy,gold,rubber,M1_a_M1_b,N,2.526315789,3.0,0.473684211,19,1.218761715,0.250876188,0.045372784,0.279603113,M1_a,M1_b,0.0556128058220215,0.0098006110195878,0.0753767402956632,0.13207541612129392
29,29,band,It was a jazz band.,It was a country band.,True,Homonymy,jazz,country,M2_a_M2_b,N,4.0,4.0,0.0,13,0.0,0.091263115,0.034426391,0.0,M2_a,M2_b,0.0067116551221564,0.0089662328110635,0.0051942638046894,0.12535572633164827
30,30,bank,He banked the plane.,He banked the money.,False,Homonymy,plane,money,M1_a_M2_a,V,1.0,1.0,0.0,17,1.060660172,0.323924422,0.132879496,0.257247878,M1_a,M2_a,0.1161001990315134,0.1420956230015478,0.077144435688285,0.1447321178024682
31,31,bank,He banked the plane.,He banked the cash.,False,Homonymy,plane,cash,M1_a_M2_b,V,0.733333333,1.0,0.266666667,15,0.703731551,0.273554802,0.136303425,0.181702705,M1_a,M2_b,0.1770589180720843,0.1717324846867354,0.1742455010368241,0.1786033876584866
32,32,bank,He banked the helicopter.,He banked the money.,False,Homonymy,helicopter,money,M1_b_M2_a,V,0.6,1.0,0.4,10,0.516397779,0.350970745,0.146282852,0.163299316,M1_b,M2_a,0.0974585606184389,0.1157047940450071,0.0588223754665382,0.23541817045862334
33,33,bank,He banked the helicopter.,He banked the cash.,False,Homonymy,helicopter,cash,M1_b_M2_b,V,1.375,1.5,0.125,8,1.302470181,0.298910558,0.146447778,0.460492749,M1_b,M2_b,0.1522320499338283,0.1133263632335088,0.1848352535343462,0.2718629688826777
34,34,bank,He banked the plane.,He banked the helicopter.,True,Homonymy,plane,helicopter,M1_a_M1_b,V,3.333333333,3.5,0.166666667,12,0.778498944,0.052691579,0.030866385,0.224733287,M1_a,M1_b,0.0299018187412283,0.0148022434743031,0.0201673990104581,0.018038887207533993
35,35,bank,He banked the money.,He banked the cash.,True,Homonymy,money,cash,M2_a_M2_b,V,3.533333333,4.0,0.466666667,15,0.833809388,0.071297884,0.015070319,0.215288658,M2_a,M2_b,0.0679278270664461,0.0449103367490959,0.0887296880937312,0.018685809924351093
36,36,barrier,There was a police barrier.,There was a language barrier.,False,Polysemy,police,language,M1_a_M2_a,N,1.333333333,1.0,0.333333333,12,1.154700538,0.270082295,0.092094541,0.333333333,M1_a,M2_a,0.1424799830850376,0.1079051521328777,0.1749551805989257,0.10165425776592396
37,37,barrier,There was a police barrier.,There was a religious barrier.,False,Polysemy,police,religious,M1_a_M2_b,N,1.266666667,2.0,0.733333333,15,1.032795559,0.224227011,0.076318026,0.266666667,M1_a,M2_b,0.0663984504649936,0.0833887017853064,0.0355126142928299,0.15110486429871772
38,38,barrier,There was a concrete barrier.,There was a language barrier.,False,Polysemy,concrete,language,M1_b_M2_a,N,1.692307692,2.0,0.307692308,13,1.250640861,0.247155786,0.07921809,0.346865366,M1_b,M2_a,0.2362078602907233,0.0689735180178672,0.3878307934784719,0.5127614187660333
39,39,barrier,There was a concrete barrier.,There was a religious barrier.,False,Polysemy,concrete,religious,M1_b_M2_b,N,1.727272727,2.0,0.272727273,11,1.348399725,0.197422087,0.060512066,0.406557814,M1_b,M2_b,0.1172609186254569,0.0396825877965852,0.1771716896755437,0.3828010954312182
40,40,barrier,There was a police barrier.,There was a concrete barrier.,True,Polysemy,police,concrete,M1_a_M1_b,N,2.923076923,3.0,0.076923077,13,1.320450584,0.11560303,0.063831151,0.366227099,M1_a,M1_b,0.0461782192429542,0.012229174835356,0.0729702328232173,0.29632283046900876
41,41,barrier,There was a language barrier.,There was a religious barrier.,True,Polysemy,language,religious,M2_a_M2_b,N,3.538461538,4.0,0.461538462,13,0.776250026,0.136045516,0.056087494,0.215293021,M2_a,M2_b,0.0420560869334066,0.0173517374444565,0.0726538763376053,0.18106987207395708
42,42,bat,He saw a furry bat.,He saw a wooden bat.,False,Homonymy,furry,wooden,M1_a_M2_a,N,0.0,0.0,0.0,10,0.0,0.141213,0.037469864,0.0,M1_a,M2_a,0.0765927350927264,0.1702935045119887,0.0279171227594416,0.023558146731053498
43,43,bat,He saw a furry bat.,He saw a baseball bat.,False,Homonymy,furry,baseball,M1_a_M2_b,N,0.5,0.0,0.5,14,0.854850414,0.220161021,0.048564672,0.228468383,M1_a,M2_b,0.1112367046983631,0.1067734298593351,0.0386764370808995,0.03987135884945214
44,44,bat,He saw a fruit bat.,He saw a wooden bat.,False,Homonymy,fruit,wooden,M1_b_M2_a,N,0.2,0.0,0.2,10,0.632455532,0.199045181,0.049907684,0.2,M1_b,M2_a,0.08896507436354,0.2406164361282399,0.0199909013722927,0.18263693139796666
45,45,bat,He saw a fruit bat.,He saw a baseball bat.,False,Homonymy,fruit,baseball,M1_b_M2_b,N,0.083333333,0.0,0.083333333,12,0.288675135,0.269888878,0.064392745,0.083333333,M1_b,M2_b,0.1241144195493544,0.1745859354112674,0.0198346738040818,0.25261456990444686
46,46,bat,He saw a furry bat.,He saw a fruit bat.,True,Homonymy,furry,fruit,M1_a_M1_b,N,3.55,4.0,0.45,20,0.998683344,0.117426872,0.030932486,0.223312384,M1_a,M1_b,0.008637351795565,0.0175391632157979,0.0065394068952505,0.21602199950846201
47,47,bat,He saw a wooden bat.,He saw a baseball bat.,True,Homonymy,wooden,baseball,M2_a_M2_b,N,3.545454545,4.0,0.454545455,11,1.213559752,0.098202467,0.045940161,0.365902033,M2_a,M2_b,0.0218119161512164,0.0095041564360641,0.0096912071194641,0.03621362560728281
48,48,beam,He saw the laser beam.,He saw the wood beam.,False,Polysemy,laser,wood,M1_a_M2_a,N,1.142857143,1.0,0.142857143,14,0.949262293,0.312720001,0.051152468,0.253701019,M1_a,M2_a,0.098084874404368,0.0308184463457291,0.1211233102584887,0.10943274568159911
49,49,beam,He saw the laser beam.,He saw the balance beam.,False,Polysemy,laser,balance,M1_a_M2_b,N,0.833333333,1.0,0.166666667,12,0.937436867,0.334815323,0.102861106,0.270614714,M1_a,M2_b,0.1337012835233165,0.1838339378203003,0.0754081750128363,0.19966421583806826
50,50,beam,He saw the bright beam.,He saw the wood beam.,False,Polysemy,bright,wood,M1_b_M2_a,N,0.555555556,0.0,0.555555556,9,1.333333333,0.237403274,0.073608041,0.444444444,M1_b,M2_a,0.1181618831484461,0.0803554279054727,0.1283115813139519,0.2266204102844761
51,51,beam,He saw the bright beam.,He saw the balance beam.,False,Polysemy,bright,balance,M1_b_M2_b,N,0.363636364,0.0,0.363636364,11,0.674199862,0.323186874,0.126451135,0.203278907,M1_b,M2_b,0.1625212450416205,0.3022102615396572,0.0602548922754164,0.3098976169191371
52,52,beam,He saw the laser beam.,He saw the bright beam.,True,Polysemy,laser,bright,M1_a_M1_b,N,3.545454545,4.0,0.454545455,11,0.687551651,0.14106673,0.063059807,0.207304623,M1_a,M1_b,0.0254291598416172,0.0280489338853352,0.014260296218285,0.07781272777763304
53,53,beam,He saw the wood beam.,He saw the balance beam.,True,Polysemy,wood,balance,M2_a_M2_b,N,2.6,3.0,0.4,20,1.187655807,0.259652674,0.094416857,0.265567912,M2_a,M2_b,0.0906743081696752,0.0884762135481646,0.0630468810454716,0.225503122304905
54,54,block,She had a toy block.,She had a mental block.,False,Polysemy,toy,mental,M1_a_M2_a,N,0.538461538,0.0,0.538461538,13,0.967417922,0.344962478,0.126269341,0.268313456,M1_a,M2_a,0.3805785701970897,0.18811161627668,0.5421793854517285,0.42646713007431447
55,55,block,She had a toy block.,She had a writer's block.,False,Polysemy,toy,writer,M1_a_M2_b,N,0.133333333,0.0,0.133333333,15,0.516397779,0.74992314,0.089277864,0.133333333,M1_a,M2_b,0.1591831838667121,0.1001815272533974,0.1626647658354689,
56,56,block,She had a wooden block.,She had a mental block.,False,Polysemy,wooden,mental,M1_b_M2_a,N,1.0,1.0,0.0,13,1.224744871,0.424544752,0.171375155,0.33968311,M1_b,M2_a,0.4174407529810455,0.0795255477881107,0.5590995461852266,0.43780316898920435
57,57,block,She had a wooden block.,She had a writer's block.,False,Polysemy,wooden,writer,M1_b_M2_b,N,0.2,0.0,0.2,10,0.421637021,0.747714102,0.135741949,0.133333333,M1_b,M2_b,0.2054884044773555,0.0245977694283908,0.2049284096070412,
58,58,block,She had a toy block.,She had a wooden block.,True,Polysemy,toy,wooden,M1_a_M1_b,N,3.8,4.0,0.2,15,0.414039336,0.149741769,0.077775836,0.106904497,M1_a,M1_b,0.0456542040623491,0.0630618266574521,0.0182679138775633,0.04540720273147536
59,59,block,She had a mental block.,She had a writer's block.,True,Polysemy,mental,writer,M2_a_M2_b,N,3.181818182,3.0,0.181818182,11,0.981649817,0.681398749,0.116603911,0.295978556,M2_a,M2_b,0.0681400513354762,0.027314745509603,0.1466581844147803,
60,60,blood,He has coagulated blood.,He has noble blood.,False,Polysemy,coagulated,noble,M1_a_M2_a,N,1.6,2.0,0.4,15,0.985610761,0.421955585,0.150418937,0.254483604,M1_a,M2_a,0.1058927222986824,0.019147653159075,0.0520497058969751,
61,61,blood,He has coagulated blood.,He has royal blood.,False,Polysemy,coagulated,royal,M1_a_M2_b,N,2.5,2.5,0.0,8,0.9258201,0.407098174,0.148918033,0.327326835,M1_a,M2_b,0.0681169375741195,0.0374733077730656,0.0088363920538953,
62,62,blood,He has thin blood.,He has noble blood.,False,Polysemy,thin,noble,M1_b_M2_a,N,2.222222222,2.0,0.222222222,9,1.6414763,0.315900445,0.075837672,0.547158767,M1_b,M2_a,0.0203101663349125,0.0020837283592335,0.0088440620274399,0.32325527971637313
63,63,blood,He has thin blood.,He has royal blood.,False,Polysemy,thin,royal,M1_b_M2_b,N,2.214285714,2.0,0.214285714,14,1.121713759,0.343109667,0.086559355,0.299790612,M1_b,M2_b,0.0224628458530474,0.0086228138297898,0.024679560588468,0.2219428387488872
64,64,blood,He has coagulated blood.,He has thin blood.,True,Polysemy,coagulated,thin,M1_a_M1_b,N,3.631578947,4.0,0.368421053,19,0.955133866,0.238283217,0.115974247,0.219122737,M1_a,M1_b,0.0583530963634409,0.0274173535115174,0.0443466026895932,
65,65,blood,He has noble blood.,He has royal blood.,True,Polysemy,noble,royal,M2_a_M2_b,N,3.583333333,4.0,0.416666667,12,0.792961461,0.078508019,0.045944512,0.228908257,M2_a,M2_b,0.0214320166973718,0.011925880769792,0.0302696665201253,0.1027835406238351
66,66,board,It was the ironing board.,It was the executive board.,False,Polysemy,ironing,executive,M1_a_M2_a,N,0.066666667,0.0,0.066666667,15,0.25819889,0.376005471,0.122809231,0.066666667,M1_a,M2_a,0.0898042870209238,0.1021692149018675,0.0523727540379649,0.19807885637792633
67,67,board,It was the ironing board.,It was the school board.,False,Polysemy,ironing,school,M1_a_M2_b,N,0.416666667,0.0,0.416666667,12,0.99620492,0.306866348,0.126246154,0.287579589,M1_a,M2_b,0.1515137769212498,0.1699678649110226,0.1394984461201127,0.18139074312864112
68,68,board,It was the wooden board.,It was the executive board.,False,Polysemy,wooden,executive,M1_b_M2_a,N,0.25,0.0,0.25,12,0.452267017,0.420134366,0.10416615,0.130558242,M1_b,M2_a,0.0861562342476058,0.0731787874653755,0.0826197077124663,0.19126415860020918
69,69,board,It was the wooden board.,It was the school board.,False,Polysemy,wooden,school,M1_b_M2_b,N,0.6,0.0,0.6,15,0.736788398,0.322381914,0.12045747,0.190237946,M1_b,M2_b,0.1785242754003647,0.1267199277467164,0.1903090031286018,0.13624457739118745
70,70,board,It was the ironing board.,It was the wooden board.,True,Polysemy,ironing,wooden,M1_a_M1_b,N,2.625,2.5,0.125,8,1.302470181,0.18104279,0.074928045,0.460492749,M1_a,M1_b,0.0266486794611032,0.0273472484058429,0.0160801307934065,0.033787744852867396
71,71,board,It was the executive board.,It was the school board.,True,Polysemy,executive,school,M2_a_M2_b,N,3.666666667,4.0,0.333333333,15,0.6172134,0.236396194,0.067143738,0.159363815,M2_a,M2_b,0.0600464202553334,0.0248575920287439,0.0295562896147862,0.05331704161888229
72,72,book,He had a best-selling book.,He had a heavy book.,False,Polysemy,best-selling,heavy,M1_a_M2_a,N,3.692307692,4.0,0.307692308,13,1.109400392,0.570299804,0.085380137,0.307692308,M1_a,M2_a,0.0675185019775812,0.1017139229739728,0.0254727634565684,
73,73,book,He had a best-selling book.,He had a leather-bound book.,False,Polysemy,best-selling,leather-bound,M1_a_M2_b,N,3.357142857,4.0,0.642857143,14,1.081817762,0.269021332,0.070268571,0.289127959,M1_a,M2_b,0.048567357913285,0.0427355525443771,0.0027524385850474,
74,74,book,He had a popular book.,He had a heavy book.,False,Polysemy,popular,heavy,M1_b_M2_a,N,4.0,4.0,0.0,11,0.0,0.216969311,0.091368973,0.0,M1_b,M2_a,0.0349974659426018,0.0500997143577277,0.0237704766679195,0.33707876936052117
75,75,book,He had a popular book.,He had a leather-bound book.,False,Polysemy,popular,leather-bound,M1_b_M2_b,N,3.818181818,4.0,0.181818182,11,0.603022689,0.615868211,0.103061438,0.181818182,M1_b,M2_b,0.0265082469600693,0.014783344442984,0.0165203523816094,
76,76,book,He had a best-selling book.,He had a popular book.,True,Polysemy,best-selling,popular,M1_a_M1_b,N,4.0,4.0,0.0,12,0.0,0.498813987,0.04464519,0.0,M1_a,M1_b,0.0284343308666862,0.0198441029991369,0.0270381331037279,
77,77,book,He had a heavy book.,He had a leather-bound book.,True,Polysemy,heavy,leather-bound,M2_a_M2_b,N,3.75,4.0,0.25,16,0.683130051,0.516257912,0.095530927,0.170782513,M2_a,M2_b,0.0394807082543167,0.0456169332478845,0.0229935587082349,
78,78,break,He broke the glass.,He broke the law.,False,Polysemy,glass,law,M1_a_M2_a,V,1.733333333,2.0,0.266666667,15,1.032795559,0.357050598,0.126903534,0.266666667,M1_a,M2_a,0.1529801682022508,0.1862075788475277,0.0625117820622839,0.29962064779234443
79,79,break,He broke the glass.,He broke the promise.,False,Polysemy,glass,promise,M1_a_M2_b,V,2.357142857,3.0,0.642857143,14,1.008208072,0.405449092,0.115515828,0.269454941,M1_a,M2_b,0.1775419754002544,0.1590047318691947,0.1618073097984076,0.4619621223197582
80,80,break,He broke the dish.,He broke the law.,False,Polysemy,dish,law,M1_b_M2_a,V,2.3,2.5,0.2,10,1.33749351,0.427916944,0.191336215,0.422952585,M1_b,M2_a,0.0811199384054099,0.1017420739480184,0.0172899103359521,0.42351916174925075
81,81,break,He broke the dish.,He broke the promise.,False,Polysemy,dish,promise,M1_b_M2_b,V,2.3,3.0,0.7,10,1.33749351,0.477100194,0.155141354,0.422952585,M1_b,M2_b,0.0885498662991732,0.0647570377272176,0.0896747054856699,0.5805548630449514
82,82,break,He broke the glass.,He broke the dish.,True,Polysemy,glass,dish,M1_a_M1_b,V,4.0,4.0,0.0,15,0.0,0.132749021,0.09671092,0.0,M1_a,M1_b,0.0281068559238638,0.0269823216887342,0.0256130492428574,0.016020756676116132
83,83,break,He broke the law.,He broke the promise.,True,Polysemy,law,promise,M2_a_M2_b,V,3.692307692,4.0,0.307692308,13,0.480384461,0.33742106,0.082362115,0.133234678,M2_a,M2_b,0.071790013334505,0.0180145378084365,0.1140766474089478,0.08102440508471997
84,84,breakfast,They ate a pancake breakfast.,They ate a family breakfast.,False,Polysemy,pancake,family,M1_a_M2_a,N,3.785714286,4.0,0.214285714,14,0.578934224,0.067232728,0.018507063,0.15472668,M1_a,M2_a,0.0108614555057038,0.0105954500052917,0.0082994864966871,0.23336815280755863
85,85,breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,False,Polysemy,pancake,lonely,M1_a_M2_b,N,3.941176471,4.0,0.058823529,17,0.242535625,0.121421158,0.046943903,0.058823529,M1_a,M2_b,0.0354789579794483,0.0094738089034555,0.0259414416600505,0.4231621413716685
86,86,breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,False,Polysemy,nutritious,family,M1_b_M2_a,N,3.666666667,4.0,0.333333333,12,1.154700538,0.09598124,0.047627091,0.333333333,M1_b,M2_a,0.0142988090015201,0.0006095772807048,0.0127490603652216,0.1702124065918197
87,87,breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,False,Polysemy,nutritious,lonely,M1_b_M2_b,N,3.333333333,4.0,0.666666667,9,1.118033989,0.055151522,0.046446443,0.372677996,M1_b,M2_b,0.0295235755568951,0.0160727104983321,0.0384695237993071,0.32868806036161036
88,88,breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,True,Polysemy,pancake,nutritious,M1_a_M1_b,N,4.0,4.0,0.0,5,0.0,0.092728674,0.054914415,0.0,M1_a,M1_b,0.0229696931979696,0.0143368827110077,0.005999392200464,0.024428695760449592
89,89,breakfast,They ate a family breakfast.,They ate a lonely breakfast.,True,Polysemy,family,lonely,M2_a_M2_b,N,3.8,4.0,0.2,20,0.615587011,0.090344608,0.033118784,0.13764944,M2_a,M2_b,0.0339199347759717,0.0149605602803941,0.034832589599003,0.22558828629591687
90,90,call,They called the landlord.,They called the loan.,False,Polysemy,landlord,loan,M1_a_M2_a,V,1.222222222,1.0,0.222222222,9,0.833333333,0.267129362,0.121238768,0.277777778,M1_a,M2_a,0.0118706345296322,0.0208642099722552,0.0013425726418433,0.09782089571602381
91,91,call,They called the landlord.,They called the debt.,False,Polysemy,landlord,debt,M1_a_M2_b,V,1.3,1.0,0.3,10,1.418136492,0.379179537,0.13010782,0.448454135,M1_a,M2_b,0.0355874432848952,0.0453412459517829,0.0018482567198137,0.10643567339279913
92,92,call,They called the police.,They called the loan.,False,Polysemy,police,loan,M1_b_M2_a,V,1.357142857,1.5,0.142857143,14,1.081817762,0.341154635,0.263126612,0.289127959,M1_b,M2_a,0.0408376002793207,0.0097385857172775,0.065195407998671,0.08569121432204907
93,93,call,They called the police.,They called the debt.,False,Polysemy,police,debt,M1_b_M2_b,V,1.0,1.0,0.0,16,1.032795559,0.464733362,0.304124057,0.25819889,M1_b,M2_b,0.0704528158176944,0.042376618581389,0.0604777122810157,0.06863584490774288
94,94,call,They called the landlord.,They called the police.,True,Polysemy,landlord,police,M1_a_M1_b,V,3.866666667,4.0,0.133333333,15,0.351865775,0.191510439,0.170996845,0.090851353,M1_a,M1_b,0.0413700301923879,0.0028337064128782,0.0732642133236173,0.0671936426268398
95,95,call,They called the loan.,They called the debt.,True,Polysemy,loan,debt,M2_a_M2_b,V,3.076923077,3.0,0.076923077,13,1.037749043,0.148041427,0.068140984,0.287819799,M2_a,M2_b,0.0253737340643565,0.0272558609671206,0.0037300633420196,0.08602283266776944
96,96,cape,It was a red cape.,It was a rocky cape.,False,Homonymy,red,rocky,M1_a_M2_a,N,0.090909091,0.0,0.090909091,11,0.301511345,0.281921923,0.080481112,0.090909091,M1_a,M2_a,0.0628415832625115,0.1148981027302273,0.0268593087084414,0.31050987032781197
97,97,cape,It was a red cape.,It was an island cape.,False,Homonymy,red,island,M1_a_M2_b,N,0.181818182,0.0,0.181818182,11,0.404519917,0.380894959,0.073402226,0.121967344,M1_a,M2_b,0.0692501458707772,0.0292435422048987,0.074826603695259,0.08363024197767954
98,98,cape,It was a flowing cape.,It was a rocky cape.,False,Homonymy,flowing,rocky,M1_b_M2_a,N,1.0,1.0,0.0,11,1.264911064,0.272568762,0.072089553,0.381385036,M1_b,M2_a,0.035890846993248,0.095722277414484,0.0041349575621555,0.13265583748504695
