word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,sensorimotor_distance,action_distance,perceptual_distance
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,FALSE,Polysemy,hostile,polluted,M1_b_M2_b,N,2.181818182,2,0.181818182,11,0.873862898,0.126936376,0.052345157,0.263479577,M1_b,M2_b,0.07639952,0.046993985618495104,0.07152318
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,TRUE,Polysemy,tense,hostile,M1_a_M1_b,N,4,4,0,11,0,0.129758179,0.037254393,0,M1_a,M1_b,0.050922259,0.029074677219691814,0.064499689
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,TRUE,Polysemy,gaseous,polluted,M2_a_M2_b,N,3.466666667,4,0.533333333,15,0.639940473,0.199588358,0.037874043,0.16523192,M2_a,M2_b,0.058439392,0.019432024,0.013800742077675121
bail,He bailed out the prisoner.,He bailed out the water.,FALSE,Homonymy,prisoner,water,M1_a_M2_a,V,0.894736842,1,0.105263158,19,1.100239208,0.294229746,0.079534769,0.252412185,M1_a,M2_a,0.081225111,0.035093533436973634,0.022958425
bail,He bailed out the prisoner.,He bailed out the liquid.,FALSE,Homonymy,prisoner,liquid,M1_a_M2_b,V,0.666666667,1,0.333333333,9,0.707106781,0.287322104,0.099640667,0.23570226,M1_a,M2_b,0.036813035,0.038701292,0.014803423536808302
bail,He bailed out the defendant.,He bailed out the water.,FALSE,Homonymy,defendant,water,M1_b_M2_a,V,0.75,0.5,0.25,8,0.88640526,0.443184912,0.110985637,0.313391585,M1_b,M2_a,0.11330267085911361,0.12818594887202062,0.07520553
bail,He bailed out the defendant.,He bailed out the liquid.,FALSE,Homonymy,defendant,liquid,M1_b_M2_b,V,0.764705882,1,0.235294118,17,0.752446989,0.42926693,0.120074809,0.182495201,M1_b,M2_b,0.10811981675488391,0.15075275283156786,0.060027114
bail,He bailed out the prisoner.,He bailed out the defendant.,TRUE,Homonymy,prisoner,defendant,M1_a_M1_b,V,3.083333333,4,0.916666667,12,1.378954369,0.140995204,0.084383667,0.398069838,M1_a,M1_b,0.057954119990785036,0.038312083,0.035076448
bail,He bailed out the water.,He bailed out the liquid.,TRUE,Homonymy,water,liquid,M2_a_M2_b,V,3.083333333,3.5,0.416666667,12,1.083624669,0.126403391,0.065280318,0.312815497,M2_a,M2_b,0.031069749,0.018331287,0.014506747789402863
band,It was a gold band.,It was a jazz band.,FALSE,Homonymy,gold,jazz,M1_a_M2_a,N,0.2,0,0.2,10,0.421637021,0.449524701,0.073461235,0.133333333,M1_a,M2_a,0.10419572318735004,0.065136494,0.12740593891195662
band,It was a gold band.,It was a country band.,FALSE,Homonymy,gold,country,M1_a_M2_b,N,0.384615385,0,0.384615385,13,0.506369684,0.455853581,0.076260746,0.140441681,M1_a,M2_b,0.10705948471009552,0.049243563142295166,0.1418856268545451
band,It was a rubber band.,It was a jazz band.,FALSE,Homonymy,rubber,jazz,M1_b_M2_a,N,0.333333333,0,0.333333333,12,0.651338947,0.482806385,0.080441296,0.188025358,M1_b,M2_a,0.12910799068403256,0.0574129,0.16137508965509628
band,It was a rubber band.,It was a country band.,FALSE,Homonymy,rubber,country,M1_b_M2_b,N,0.1,0,0.1,10,0.316227766,0.484228253,0.089959681,0.1,M1_b,M2_b,0.13833688780767672,0.031209844880469517,0.18911940094703428
band,It was a gold band.,It was a rubber band.,TRUE,Homonymy,gold,rubber,M1_a_M1_b,N,2.526315789,3,0.473684211,19,1.218761715,0.250876188,0.045372784,0.279603113,M1_a,M1_b,0.055612806,0.009800611,0.07537674
band,It was a jazz band.,It was a country band.,TRUE,Homonymy,jazz,country,M2_a_M2_b,N,4,4,0,13,0,0.091263115,0.034426391,0,M2_a,M2_b,0.006711655,0.008966233,0.005194264
bank,He banked the plane.,He banked the money.,FALSE,Homonymy,plane,money,M1_a_M2_a,V,1,1,0,17,1.060660172,0.323924422,0.132879496,0.257247878,M1_a,M2_a,0.11610019903151347,0.14209562300154788,0.077144436
bank,He banked the plane.,He banked the cash.,FALSE,Homonymy,plane,cash,M1_a_M2_b,V,0.733333333,1,0.266666667,15,0.703731551,0.273554802,0.136303425,0.181702705,M1_a,M2_b,0.1770589180720843,0.1717324846867354,0.17424550103682412
bank,He banked the helicopter.,He banked the money.,FALSE,Homonymy,helicopter,money,M1_b_M2_a,V,0.6,1,0.4,10,0.516397779,0.350970745,0.146282852,0.163299316,M1_b,M2_a,0.097458561,0.11570479404500711,0.058822375466538235
bank,He banked the helicopter.,He banked the cash.,FALSE,Homonymy,helicopter,cash,M1_b_M2_b,V,1.375,1.5,0.125,8,1.302470181,0.298910558,0.146447778,0.460492749,M1_b,M2_b,0.15223204993382833,0.11332636323350886,0.18483525353434627
bank,He banked the plane.,He banked the helicopter.,TRUE,Homonymy,plane,helicopter,M1_a_M1_b,V,3.333333333,3.5,0.166666667,12,0.778498944,0.052691579,0.030866385,0.224733287,M1_a,M1_b,0.029901818741228325,0.014802243474303145,0.020167399010458165
bank,He banked the money.,He banked the cash.,TRUE,Homonymy,money,cash,M2_a_M2_b,V,3.533333333,4,0.466666667,15,0.833809388,0.071297884,0.015070319,0.215288658,M2_a,M2_b,0.067927827,0.044910337,0.088729688
barrier,There was a police barrier.,There was a language barrier.,FALSE,Polysemy,police,language,M1_a_M2_a,N,1.333333333,1,0.333333333,12,1.154700538,0.270082295,0.092094541,0.333333333,M1_a,M2_a,0.14247998308503762,0.10790515213287777,0.17495518059892579
barrier,There was a police barrier.,There was a religious barrier.,FALSE,Polysemy,police,religious,M1_a_M2_b,N,1.266666667,2,0.733333333,15,1.032795559,0.224227011,0.076318026,0.266666667,M1_a,M2_b,0.06639845,0.083388702,0.035512614292829925
barrier,There was a concrete barrier.,There was a language barrier.,FALSE,Polysemy,concrete,language,M1_b_M2_a,N,1.692307692,2,0.307692308,13,1.250640861,0.247155786,0.07921809,0.346865366,M1_b,M2_a,0.23620786029072338,0.068973518,0.38783079347847194
barrier,There was a concrete barrier.,There was a religious barrier.,FALSE,Polysemy,concrete,religious,M1_b_M2_b,N,1.727272727,2,0.272727273,11,1.348399725,0.197422087,0.060512066,0.406557814,M1_b,M2_b,0.11726091862545696,0.039682588,0.17717168967554375
barrier,There was a police barrier.,There was a concrete barrier.,TRUE,Polysemy,police,concrete,M1_a_M1_b,N,2.923076923,3,0.076923077,13,1.320450584,0.11560303,0.063831151,0.366227099,M1_a,M1_b,0.046178219,0.012229174835356016,0.072970233
barrier,There was a language barrier.,There was a religious barrier.,TRUE,Polysemy,language,religious,M2_a_M2_b,N,3.538461538,4,0.461538462,13,0.776250026,0.136045516,0.056087494,0.215293021,M2_a,M2_b,0.042056087,0.017351737444456505,0.072653876
bat,He saw a furry bat.,He saw a wooden bat.,FALSE,Homonymy,furry,wooden,M1_a_M2_a,N,0,0,0,10,0,0.141213,0.037469864,0,M1_a,M2_a,0.076592735,0.17029350451198877,0.027917122759441693
bat,He saw a furry bat.,He saw a baseball bat.,FALSE,Homonymy,furry,baseball,M1_a_M2_b,N,0.5,0,0.5,14,0.854850414,0.220161021,0.048564672,0.228468383,M1_a,M2_b,0.11123670469836311,0.10677342985933513,0.038676437
bat,He saw a fruit bat.,He saw a wooden bat.,FALSE,Homonymy,fruit,wooden,M1_b_M2_a,N,0.2,0,0.2,10,0.632455532,0.199045181,0.049907684,0.2,M1_b,M2_a,0.088965074,0.2406164361282399,0.019990901372292758
bat,He saw a fruit bat.,He saw a baseball bat.,FALSE,Homonymy,fruit,baseball,M1_b_M2_b,N,0.083333333,0,0.083333333,12,0.288675135,0.269888878,0.064392745,0.083333333,M1_b,M2_b,0.12411441954935443,0.17458593541126743,0.019834674
bat,He saw a furry bat.,He saw a fruit bat.,TRUE,Homonymy,furry,fruit,M1_a_M1_b,N,3.55,4,0.45,20,0.998683344,0.117426872,0.030932486,0.223312384,M1_a,M1_b,0.008637352,0.017539163,0.006539407
bat,He saw a wooden bat.,He saw a baseball bat.,TRUE,Homonymy,wooden,baseball,M2_a_M2_b,N,3.545454545,4,0.454545455,11,1.213559752,0.098202467,0.045940161,0.365902033,M2_a,M2_b,0.021811916,0.009504156,0.009691207
beam,He saw the laser beam.,He saw the wood beam.,FALSE,Polysemy,laser,wood,M1_a_M2_a,N,1.142857143,1,0.142857143,14,0.949262293,0.312720001,0.051152468,0.253701019,M1_a,M2_a,0.098084874,0.030818446345729167,0.12112331025848877
beam,He saw the laser beam.,He saw the balance beam.,FALSE,Polysemy,laser,balance,M1_a_M2_b,N,0.833333333,1,0.166666667,12,0.937436867,0.334815323,0.102861106,0.270614714,M1_a,M2_b,0.13370128352331656,0.18383393782030033,0.075408175
beam,He saw the bright beam.,He saw the wood beam.,FALSE,Polysemy,bright,wood,M1_b_M2_a,N,0.555555556,0,0.555555556,9,1.333333333,0.237403274,0.073608041,0.444444444,M1_b,M2_a,0.11816188314844611,0.080355428,0.12831158131395193
beam,He saw the bright beam.,He saw the balance beam.,FALSE,Polysemy,bright,balance,M1_b_M2_b,N,0.363636364,0,0.363636364,11,0.674199862,0.323186874,0.126451135,0.203278907,M1_b,M2_b,0.16252124504162058,0.30221026153965724,0.060254892
beam,He saw the laser beam.,He saw the bright beam.,TRUE,Polysemy,laser,bright,M1_a_M1_b,N,3.545454545,4,0.454545455,11,0.687551651,0.14106673,0.063059807,0.207304623,M1_a,M1_b,0.02542916,0.028048933885335248,0.014260296218285062
beam,He saw the wood beam.,He saw the balance beam.,TRUE,Polysemy,wood,balance,M2_a_M2_b,N,2.6,3,0.4,20,1.187655807,0.259652674,0.094416857,0.265567912,M2_a,M2_b,0.090674308,0.088476214,0.063046881
block,She had a toy block.,She had a mental block.,FALSE,Polysemy,toy,mental,M1_a_M2_a,N,0.538461538,0,0.538461538,13,0.967417922,0.344962478,0.126269341,0.268313456,M1_a,M2_a,0.38057857019708974,0.18811161627668005,0.5421793854517285
block,She had a toy block.,She had a writer's block.,FALSE,Polysemy,toy,writer,M1_a_M2_b,N,0.133333333,0,0.133333333,15,0.516397779,0.74992314,0.089277864,0.133333333,M1_a,M2_b,0.15918318386671215,0.10018152725339746,0.16266476583546896
block,She had a wooden block.,She had a mental block.,FALSE,Polysemy,wooden,mental,M1_b_M2_a,N,1,1,0,13,1.224744871,0.424544752,0.171375155,0.33968311,M1_b,M2_a,0.41744075298104555,0.079525548,0.5590995461852266
block,She had a wooden block.,She had a writer's block.,FALSE,Polysemy,wooden,writer,M1_b_M2_b,N,0.2,0,0.2,10,0.421637021,0.747714102,0.135741949,0.133333333,M1_b,M2_b,0.2054884044773555,0.024597769,0.20492840960704128
block,She had a toy block.,She had a wooden block.,TRUE,Polysemy,toy,wooden,M1_a_M1_b,N,3.8,4,0.2,15,0.414039336,0.149741769,0.077775836,0.106904497,M1_a,M1_b,0.045654204,0.063061827,0.018267913877563324
block,She had a mental block.,She had a writer's block.,TRUE,Polysemy,mental,writer,M2_a_M2_b,N,3.181818182,3,0.181818182,11,0.981649817,0.681398749,0.116603911,0.295978556,M2_a,M2_b,0.068140051,0.027314746,0.1466581844147803
blood,He has coagulated blood.,He has noble blood.,FALSE,Polysemy,coagulated,noble,M1_a_M2_a,N,1.6,2,0.4,15,0.985610761,0.421955585,0.150418937,0.254483604,M1_a,M2_a,0.1058927222986824,0.019147653159075073,0.052049706
blood,He has coagulated blood.,He has royal blood.,FALSE,Polysemy,coagulated,royal,M1_a_M2_b,N,2.5,2.5,0,8,0.9258201,0.407098174,0.148918033,0.327326835,M1_a,M2_b,0.068116938,0.037473308,0.008836392
blood,He has thin blood.,He has noble blood.,FALSE,Polysemy,thin,noble,M1_b_M2_a,N,2.222222222,2,0.222222222,9,1.6414763,0.315900445,0.075837672,0.547158767,M1_b,M2_a,0.020310166,0.002083728,0.008844062
blood,He has thin blood.,He has royal blood.,FALSE,Polysemy,thin,royal,M1_b_M2_b,N,2.214285714,2,0.214285714,14,1.121713759,0.343109667,0.086559355,0.299790612,M1_b,M2_b,0.022462845853047475,0.008622814,0.024679560588468097
blood,He has coagulated blood.,He has thin blood.,TRUE,Polysemy,coagulated,thin,M1_a_M1_b,N,3.631578947,4,0.368421053,19,0.955133866,0.238283217,0.115974247,0.219122737,M1_a,M1_b,0.058353096,0.027417353511517417,0.044346603
blood,He has noble blood.,He has royal blood.,TRUE,Polysemy,noble,royal,M2_a_M2_b,N,3.583333333,4,0.416666667,12,0.792961461,0.078508019,0.045944512,0.228908257,M2_a,M2_b,0.021432016697371825,0.011925880769792063,0.030269666520125305
board,It was the ironing board.,It was the executive board.,FALSE,Polysemy,ironing,executive,M1_a_M2_a,N,0.066666667,0,0.066666667,15,0.25819889,0.376005471,0.122809231,0.066666667,M1_a,M2_a,0.089804287,0.10216921490186759,0.052372754
board,It was the ironing board.,It was the school board.,FALSE,Polysemy,ironing,school,M1_a_M2_b,N,0.416666667,0,0.416666667,12,0.99620492,0.306866348,0.126246154,0.287579589,M1_a,M2_b,0.1515137769212498,0.16996786491102267,0.13949844612011275
board,It was the wooden board.,It was the executive board.,FALSE,Polysemy,wooden,executive,M1_b_M2_a,N,0.25,0,0.25,12,0.452267017,0.420134366,0.10416615,0.130558242,M1_b,M2_a,0.086156234,0.073178787,0.082619708
board,It was the wooden board.,It was the school board.,FALSE,Polysemy,wooden,school,M1_b_M2_b,N,0.6,0,0.6,15,0.736788398,0.322381914,0.12045747,0.190237946,M1_b,M2_b,0.17852427540036475,0.12671992774671648,0.19030900312860188
board,It was the ironing board.,It was the wooden board.,TRUE,Polysemy,ironing,wooden,M1_a_M1_b,N,2.625,2.5,0.125,8,1.302470181,0.18104279,0.074928045,0.460492749,M1_a,M1_b,0.026648679461103275,0.027347248405842906,0.016080130793406533
board,It was the executive board.,It was the school board.,TRUE,Polysemy,executive,school,M2_a_M2_b,N,3.666666667,4,0.333333333,15,0.6172134,0.236396194,0.067143738,0.159363815,M2_a,M2_b,0.060046420255333466,0.024857592028743936,0.02955629
book,He had a best-selling book.,He had a heavy book.,FALSE,Polysemy,best-selling,heavy,M1_a_M2_a,N,3.692307692,4,0.307692308,13,1.109400392,0.570299804,0.085380137,0.307692308,M1_a,M2_a,0.067518502,0.10171392297397286,0.025472763
book,He had a best-selling book.,He had a leather-bound book.,FALSE,Polysemy,best-selling,leather-bound,M1_a_M2_b,N,3.357142857,4,0.642857143,14,1.081817762,0.269021332,0.070268571,0.289127959,M1_a,M2_b,0.048567357913285036,0.042735553,0.002752439
book,He had a popular book.,He had a heavy book.,FALSE,Polysemy,popular,heavy,M1_b_M2_a,N,4,4,0,11,0,0.216969311,0.091368973,0,M1_b,M2_a,0.034997466,0.050099714357727754,0.023770476667919538
book,He had a popular book.,He had a leather-bound book.,FALSE,Polysemy,popular,leather-bound,M1_b_M2_b,N,3.818181818,4,0.181818182,11,0.603022689,0.615868211,0.103061438,0.181818182,M1_b,M2_b,0.026508247,0.014783344442984014,0.016520352381609427
book,He had a best-selling book.,He had a popular book.,TRUE,Polysemy,best-selling,popular,M1_a_M1_b,N,4,4,0,12,0,0.498813987,0.04464519,0,M1_a,M1_b,0.028434331,0.019844103,0.027038133103727935
book,He had a heavy book.,He had a leather-bound book.,TRUE,Polysemy,heavy,leather-bound,M2_a_M2_b,N,3.75,4,0.25,16,0.683130051,0.516257912,0.095530927,0.170782513,M2_a,M2_b,0.039480708,0.045616933,0.022993559
break,He broke the glass.,He broke the law.,FALSE,Polysemy,glass,law,M1_a_M2_a,V,1.733333333,2,0.266666667,15,1.032795559,0.357050598,0.126903534,0.266666667,M1_a,M2_a,0.1529801682022508,0.1862075788475277,0.062511782
break,He broke the glass.,He broke the promise.,FALSE,Polysemy,glass,promise,M1_a_M2_b,V,2.357142857,3,0.642857143,14,1.008208072,0.405449092,0.115515828,0.269454941,M1_a,M2_b,0.1775419754002544,0.15900473186919473,0.16180730979840763
break,He broke the dish.,He broke the law.,FALSE,Polysemy,dish,law,M1_b_M2_a,V,2.3,2.5,0.2,10,1.33749351,0.427916944,0.191336215,0.422952585,M1_b,M2_a,0.081119938,0.10174207394801849,0.017289910335952174
break,He broke the dish.,He broke the promise.,FALSE,Polysemy,dish,promise,M1_b_M2_b,V,2.3,3,0.7,10,1.33749351,0.477100194,0.155141354,0.422952585,M1_b,M2_b,0.088549866,0.064757038,0.089674705
break,He broke the glass.,He broke the dish.,TRUE,Polysemy,glass,dish,M1_a_M1_b,V,4,4,0,15,0,0.132749021,0.09671092,0,M1_a,M1_b,0.028106856,0.026982321688734268,0.025613049242857455
break,He broke the law.,He broke the promise.,TRUE,Polysemy,law,promise,M2_a_M2_b,V,3.692307692,4,0.307692308,13,0.480384461,0.33742106,0.082362115,0.133234678,M2_a,M2_b,0.071790013,0.018014537808436537,0.11407664740894785
breakfast,They ate a pancake breakfast.,They ate a family breakfast.,FALSE,Polysemy,pancake,family,M1_a_M2_a,N,3.785714286,4,0.214285714,14,0.578934224,0.067232728,0.018507063,0.15472668,M1_a,M2_a,0.010861455505703832,0.010595450005291718,0.008299486
breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,FALSE,Polysemy,pancake,lonely,M1_a_M2_b,N,3.941176471,4,0.058823529,17,0.242535625,0.121421158,0.046943903,0.058823529,M1_a,M2_b,0.035478958,0.009473809,0.025941441660050524
breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,FALSE,Polysemy,nutritious,family,M1_b_M2_a,N,3.666666667,4,0.333333333,12,1.154700538,0.09598124,0.047627091,0.333333333,M1_b,M2_a,0.014298809,0.000609577,0.01274906
breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,FALSE,Polysemy,nutritious,lonely,M1_b_M2_b,N,3.333333333,4,0.666666667,9,1.118033989,0.055151522,0.046446443,0.372677996,M1_b,M2_b,0.029523576,0.016072710498332143,0.038469523799307126
breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,TRUE,Polysemy,pancake,nutritious,M1_a_M1_b,N,4,4,0,5,0,0.092728674,0.054914415,0,M1_a,M1_b,0.022969693,0.014336882711007748,0.005999392
breakfast,They ate a family breakfast.,They ate a lonely breakfast.,TRUE,Polysemy,family,lonely,M2_a_M2_b,N,3.8,4,0.2,20,0.615587011,0.090344608,0.033118784,0.13764944,M2_a,M2_b,0.033919935,0.014960560280394164,0.03483259
call,They called the landlord.,They called the loan.,FALSE,Polysemy,landlord,loan,M1_a_M2_a,V,1.222222222,1,0.222222222,9,0.833333333,0.267129362,0.121238768,0.277777778,M1_a,M2_a,0.011870634529632218,0.020864209972255243,0.001342573
call,They called the landlord.,They called the debt.,FALSE,Polysemy,landlord,debt,M1_a_M2_b,V,1.3,1,0.3,10,1.418136492,0.379179537,0.13010782,0.448454135,M1_a,M2_b,0.035587443,0.045341245951782905,0.001848257
call,They called the police.,They called the loan.,FALSE,Polysemy,police,loan,M1_b_M2_a,V,1.357142857,1.5,0.142857143,14,1.081817762,0.341154635,0.263126612,0.289127959,M1_b,M2_a,0.0408376,0.009738586,0.065195408
call,They called the police.,They called the debt.,FALSE,Polysemy,police,debt,M1_b_M2_b,V,1,1,0,16,1.032795559,0.464733362,0.304124057,0.25819889,M1_b,M2_b,0.070452816,0.042376619,0.060477712
call,They called the landlord.,They called the police.,TRUE,Polysemy,landlord,police,M1_a_M1_b,V,3.866666667,4,0.133333333,15,0.351865775,0.191510439,0.170996845,0.090851353,M1_a,M1_b,0.04137003,0.002833706,0.073264213
call,They called the loan.,They called the debt.,TRUE,Polysemy,loan,debt,M2_a_M2_b,V,3.076923077,3,0.076923077,13,1.037749043,0.148041427,0.068140984,0.287819799,M2_a,M2_b,0.025373734,0.027255860967120626,0.003730063
cape,It was a red cape.,It was a rocky cape.,FALSE,Homonymy,red,rocky,M1_a_M2_a,N,0.090909091,0,0.090909091,11,0.301511345,0.281921923,0.080481112,0.090909091,M1_a,M2_a,0.062841583,0.11489810273022738,0.026859308708441443
cape,It was a red cape.,It was an island cape.,FALSE,Homonymy,red,island,M1_a_M2_b,N,0.181818182,0,0.181818182,11,0.404519917,0.380894959,0.073402226,0.121967344,M1_a,M2_b,0.069250146,0.029243542204898776,0.074826604
cape,It was a flowing cape.,It was a rocky cape.,FALSE,Homonymy,flowing,rocky,M1_b_M2_a,N,1,1,0,11,1.264911064,0.272568762,0.072089553,0.381385036,M1_b,M2_a,0.035890847,0.095722277,0.004134958
cape,It was a flowing cape.,It was an island cape.,FALSE,Homonymy,flowing,island,M1_b_M2_b,N,0.428571429,0,0.428571429,14,0.937614462,0.364672005,0.081994772,0.250588006,M1_b,M2_b,0.040969478301415285,0.020554601313778065,0.042588507
cape,It was a red cape.,It was a flowing cape.,TRUE,Homonymy,red,flowing,M1_a_M1_b,N,3.266666667,4,0.733333333,15,1.222799287,0.081663668,0.065949082,0.315725418,M1_a,M1_b,0.021092856,0.013486238646064352,0.024232460009420698
cape,It was a rocky cape.,It was an island cape.,TRUE,Homonymy,rocky,island,M2_a_M2_b,N,2.866666667,3,0.133333333,15,1.245945806,0.092699349,0.054765403,0.321701824,M2_a,M2_b,0.056369355587037706,0.16201841565490993,0.025400936
case,It was a beer case.,It was a divorce case.,FALSE,Homonymy,beer,divorce,M1_a_M2_a,N,0.166666667,0,0.166666667,18,0.514495755,0.45721215,0.069611669,0.121267813,M1_a,M2_a,0.17074683946870506,0.16952762081192407,0.15280380605344335
case,It was a beer case.,It was a criminal case.,FALSE,Homonymy,beer,criminal,M1_a_M2_b,N,0.4,0,0.4,10,0.699205899,0.469730914,0.093788862,0.221108319,M1_a,M2_b,0.19276033839200846,0.097474604,0.20494226502354929
case,It was a display case.,It was a divorce case.,FALSE,Homonymy,display,divorce,M1_b_M2_a,N,0.25,0,0.25,12,0.452267017,0.49239856,0.092166007,0.130558242,M1_b,M2_a,0.18731402183207913,0.09893683,0.1810587985918386
case,It was a display case.,It was a criminal case.,FALSE,Homonymy,display,criminal,M1_b_M2_b,N,0.363636364,0,0.363636364,11,0.504524979,0.471332073,0.091340482,0.152120005,M1_b,M2_b,0.2532154750027269,0.17569686918666205,0.2227310655342758
case,It was a beer case.,It was a display case.,TRUE,Homonymy,beer,display,M1_a_M1_b,N,1.75,2,0.25,12,1.055289706,0.209219635,0.053949893,0.304635898,M1_a,M1_b,0.07930449,0.073467363,0.076243801
case,It was a divorce case.,It was a criminal case.,TRUE,Homonymy,divorce,criminal,M2_a_M2_b,N,3.928571429,4,0.071428571,14,0.267261242,0.138578296,0.065858305,0.071428571,M2_a,M2_b,0.055174006,0.099752833,0.014870766678842906
cast,She cast a shadow.,She cast a spear.,FALSE,Polysemy,shadow,spear,M1_a_M2_a,V,0.909090909,1,0.090909091,11,1.221027883,0.222672522,0.137296617,0.368153759,M1_a,M2_a,0.088249129,0.12680840263824078,0.018852669488088725
cast,She cast a shadow.,She cast a stone.,FALSE,Polysemy,shadow,stone,M1_a_M2_b,V,1.142857143,1,0.142857143,14,1.231455852,0.194877267,0.14134413,0.32912042,M1_a,M2_b,0.06878558,0.077502998,0.052263277
cast,She cast a glow.,She cast a spear.,FALSE,Polysemy,glow,spear,M1_b_M2_a,V,1.461538462,1,0.461538462,13,1.391365314,0.262479603,0.146176755,0.385895306,M1_b,M2_a,0.057096088,0.069579992,0.039571193
cast,She cast a glow.,She cast a stone.,FALSE,Polysemy,glow,stone,M1_b_M2_b,V,0.941176471,1,0.058823529,17,1.028991511,0.268744171,0.148141026,0.249567099,M1_b,M2_b,0.05499402,0.032925717743434446,0.087114661
cast,She cast a shadow.,She cast a glow.,TRUE,Polysemy,shadow,glow,M1_a_M1_b,V,3.285714286,4,0.714285714,7,0.951189731,0.15237397,0.058177471,0.359515925,M1_a,M1_b,0.045850237023691176,0.064834516,0.008742533
