sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
He has coagulated blood.,He has noble blood.,blood,blood,False,0.02678515483750843,0,9,7,2,124645632
He has coagulated blood.,He has royal blood.,blood,blood,False,0.02678515483750843,0,9,7,2,124645632
He has thin blood.,He has noble blood.,blood,blood,False,0.0,0,7,7,0,124645632
He has thin blood.,He has royal blood.,blood,blood,False,0.0,0,7,7,0,124645632
He has coagulated blood.,He has thin blood.,blood,blood,True,0.02678515483750843,0,9,7,2,124645632
He has noble blood.,He has royal blood.,blood,blood,True,0.0,0,7,7,0,124645632
It was the ironing board.,It was the executive board.,board,board,False,0.00850589538598212,0,9,8,1,124645632
It was the ironing board.,It was the school board.,board,board,False,0.00850589538598212,0,9,8,1,124645632
It was the wooden board.,It was the executive board.,board,board,False,0.0,0,8,8,0,124645632
It was the wooden board.,It was the school board.,board,board,False,0.0,0,8,8,0,124645632
It was the ironing board.,It was the wooden board.,board,board,True,0.00850589538598212,0,9,8,1,124645632
It was the executive board.,It was the school board.,board,board,True,0.0,0,8,8,0,124645632
He had a best-selling book.,He had a heavy book.,book,book,False,0.03251450816273471,0,10,8,2,124645632
He had a best-selling book.,He had a leather-bound book.,book,book,False,0.0,0,10,10,0,124645632
He had a popular book.,He had a heavy book.,book,book,False,3.4216051103541645e-09,0,8,8,0,124645632
He had a popular book.,He had a leather-bound book.,book,book,False,0.03251450816273471,0,8,10,2,124645632
He had a best-selling book.,He had a popular book.,book,book,True,0.03251450816273471,0,10,8,2,124645632
He had a heavy book.,He had a leather-bound book.,book,book,True,0.03251450816273471,0,8,10,2,124645632
He broke the glass.,He broke the law.,break,broke,False,6.8284911058924536e-09,0,7,7,0,124645632
He broke the glass.,He broke the promise.,break,broke,False,6.8284911058924536e-09,0,7,7,0,124645632
He broke the dish.,He broke the law.,break,broke,False,6.8284911058924536e-09,0,7,7,0,124645632
He broke the dish.,He broke the promise.,break,broke,False,6.8284911058924536e-09,0,7,7,0,124645632
He broke the glass.,He broke the dish.,break,broke,True,6.8284911058924536e-09,0,7,7,0,124645632
He broke the law.,He broke the promise.,break,broke,True,6.8284911058924536e-09,0,7,7,0,124645632
They ate a pancake breakfast.,They ate a family breakfast.,breakfast,breakfast,False,0.008669681193914314,0,9,8,1,124645632
They ate a pancake breakfast.,They ate a lonely breakfast.,breakfast,breakfast,False,0.008669681193914314,0,9,8,1,124645632
They ate a nutritious breakfast.,They ate a family breakfast.,breakfast,breakfast,False,1.2464041243553936e-08,0,8,8,0,124645632
They ate a nutritious breakfast.,They ate a lonely breakfast.,breakfast,breakfast,False,1.2464041243553936e-08,0,8,8,0,124645632
They ate a pancake breakfast.,They ate a nutritious breakfast.,breakfast,breakfast,True,0.008669681193914314,0,9,8,1,124645632
They ate a family breakfast.,They ate a lonely breakfast.,breakfast,breakfast,True,1.2464041243553936e-08,0,8,8,0,124645632
They called the landlord.,They called the loan.,call,called,False,2.1364817692770544e-09,0,7,7,0,124645632
They called the landlord.,They called the debt.,call,called,False,2.1364817692770544e-09,0,7,7,0,124645632
They called the police.,They called the loan.,call,called,False,2.1364817692770544e-09,0,7,7,0,124645632
They called the police.,They called the debt.,call,called,False,2.1364817692770544e-09,0,7,7,0,124645632
They called the landlord.,They called the police.,call,called,True,2.1364817692770544e-09,0,7,7,0,124645632
They called the loan.,They called the debt.,call,called,True,2.1364817692770544e-09,0,7,7,0,124645632
It was a red cape.,It was a rocky cape.,cape,cape,False,0.0,0,8,8,0,124645632
It was a red cape.,It was an island cape.,cape,cape,False,0.0,0,8,8,0,124645632
It was a flowing cape.,It was a rocky cape.,cape,cape,False,0.0,0,8,8,0,124645632
It was a flowing cape.,It was an island cape.,cape,cape,False,0.0,0,8,8,0,124645632
It was a red cape.,It was a flowing cape.,cape,cape,True,0.0,0,8,8,0,124645632
It was a rocky cape.,It was an island cape.,cape,cape,True,0.0,0,8,8,0,124645632
It was a beer case.,It was a divorce case.,case,case,False,0.0,0,8,8,0,124645632
It was a beer case.,It was a criminal case.,case,case,False,0.0,0,8,8,0,124645632
It was a display case.,It was a divorce case.,case,case,False,0.0,0,8,8,0,124645632
It was a display case.,It was a criminal case.,case,case,False,0.0,0,8,8,0,124645632
It was a beer case.,It was a display case.,case,case,True,0.0,0,8,8,0,124645632
It was a divorce case.,It was a criminal case.,case,case,True,0.0,0,8,8,0,124645632
She cast a shadow.,She cast a spear.,cast,cast,False,0.0,0,7,7,0,124645632
She cast a shadow.,She cast a stone.,cast,cast,False,0.0,0,7,7,0,124645632
She cast a glow.,She cast a spear.,cast,cast,False,0.0,0,7,7,0,124645632
She cast a glow.,She cast a stone.,cast,cast,False,0.0,0,7,7,0,124645632
She cast a shadow.,She cast a glow.,cast,cast,True,0.0,0,7,7,0,124645632
She cast a spear.,She cast a stone.,cast,cast,True,0.0,0,7,7,0,124645632
It was a worthy cause.,It was a main cause.,cause,cause,False,0.0,0,8,8,0,124645632
It was a worthy cause.,It was a primary cause.,cause,cause,False,0.0,0,8,8,0,124645632
It was a political cause.,It was a main cause.,cause,cause,False,0.0,0,8,8,0,124645632
It was a political cause.,It was a primary cause.,cause,cause,False,0.0,0,8,8,0,124645632
It was a worthy cause.,It was a political cause.,cause,cause,True,0.0,0,8,8,0,124645632
It was a main cause.,It was a primary cause.,cause,cause,True,0.0,0,8,8,0,124645632
It was a skin cell.,It was a prison cell.,cell,cell,False,0.0,0,8,8,0,124645632
It was a skin cell.,It was a jail cell.,cell,cell,False,0.0,0,8,8,0,124645632
It was a brain cell.,It was a prison cell.,cell,cell,False,0.0,0,8,8,0,124645632
It was a brain cell.,It was a jail cell.,cell,cell,False,0.0,0,8,8,0,124645632
It was a skin cell.,It was a brain cell.,cell,cell,True,0.0,0,8,8,0,124645632
It was a prison cell.,It was a jail cell.,cell,cell,True,0.0,0,8,8,0,124645632
She had a devilish charm.,She had a gold charm.,charm,charm,False,0.00745137560935849,0,9,8,1,124645632
She had a devilish charm.,She had a good-luck charm.,charm,charm,False,0.007588611900859021,0,9,10,1,124645632
She had a natural charm.,She had a gold charm.,charm,charm,False,1.1329580051899768e-08,0,8,8,0,124645632
She had a natural charm.,She had a good-luck charm.,charm,charm,False,0.024990965991425806,0,8,10,2,124645632
She had a devilish charm.,She had a natural charm.,charm,charm,True,0.00745137560935849,0,9,8,1,124645632
She had a gold charm.,She had a good-luck charm.,charm,charm,True,0.024990965991425806,0,8,10,2,124645632
He checked the engine.,He checked the alibi.,check,checked,False,5.943107450612217e-09,0,7,8,1,124645632
He checked the engine.,He checked the facts.,check,checked,False,5.943107450612217e-09,0,7,7,0,124645632
He checked the oven.,He checked the alibi.,check,checked,False,5.943107450612217e-09,0,7,8,1,124645632
He checked the oven.,He checked the facts.,check,checked,False,5.943107450612217e-09,0,7,7,0,124645632
He checked the engine.,He checked the oven.,check,checked,True,5.943107450612217e-09,0,7,7,0,124645632
He checked the alibi.,He checked the facts.,check,checked,True,5.943107450612217e-09,0,8,7,1,124645632
They liked the juicy chicken.,They liked the clucking chicken.,chicken,chicken,False,0.009354224922203835,0,8,9,1,124645632
They liked the juicy chicken.,They liked the pet chicken.,chicken,chicken,False,0.0,0,8,8,0,124645632
They liked the roasted chicken.,They liked the clucking chicken.,chicken,chicken,False,0.009354224922203835,0,8,9,1,124645632
They liked the roasted chicken.,They liked the pet chicken.,chicken,chicken,False,0.0,0,8,8,0,124645632
They liked the juicy chicken.,They liked the roasted chicken.,chicken,chicken,True,0.0,0,8,8,0,124645632
They liked the clucking chicken.,They liked the pet chicken.,chicken,chicken,True,0.009354224922203835,0,9,8,1,124645632
It was a perceptive class.,It was a boring class.,class,class,False,0.008747465748822791,0,9,8,1,124645632
It was a perceptive class.,It was a stimulating class.,class,class,False,0.008747465748822791,0,9,8,1,124645632
It was a misbehaving class.,It was a boring class.,class,class,False,0.02941963067003539,0,10,8,2,124645632
It was a misbehaving class.,It was a stimulating class.,class,class,False,0.02941963067003539,0,10,8,2,124645632
It was a perceptive class.,It was a misbehaving class.,class,class,True,0.008921804445422676,0,9,10,1,124645632
It was a boring class.,It was a stimulating class.,class,class,True,0.0,0,8,8,0,124645632
He cleared the desk.,He cleared the path.,clear,cleared,False,0.0,0,7,7,0,124645632
He cleared the desk.,He cleared the road.,clear,cleared,False,0.0,0,7,7,0,124645632
He cleared the shelf.,He cleared the path.,clear,cleared,False,0.0,0,7,7,0,124645632
He cleared the shelf.,He cleared the road.,clear,cleared,False,0.0,0,7,7,0,124645632
He cleared the desk.,He cleared the shelf.,clear,cleared,True,0.0,0,7,7,0,124645632
He cleared the path.,He cleared the road.,clear,cleared,True,0.0,0,7,7,0,124645632
It was a film clip.,It was a hair clip.,clip,clip,False,0.0,0,8,8,0,124645632
It was a film clip.,It was a metal clip.,clip,clip,False,0.0,0,8,8,0,124645632
It was a video clip.,It was a hair clip.,clip,clip,False,0.0,0,8,8,0,124645632
It was a video clip.,It was a metal clip.,clip,clip,False,0.0,0,8,8,0,124645632
It was a film clip.,It was a video clip.,clip,clip,True,0.0,0,8,8,0,124645632
It was a hair clip.,It was a metal clip.,clip,clip,True,0.0,0,8,8,0,124645632
The dancer clogged.,The pipe clogged.,clog,clogged,False,0.0,0,7,7,0,124645632
The dancer clogged.,The sink clogged.,clog,clogged,False,0.0,0,7,7,0,124645632
The choreographer clogged.,The pipe clogged.,clog,clogged,False,0.01208904928030441,0,8,7,1,124645632
The choreographer clogged.,The sink clogged.,clog,clogged,False,0.01208904928030441,0,8,7,1,124645632
The dancer clogged.,The choreographer clogged.,clog,clogged,True,0.01208904928030441,0,7,8,1,124645632
The pipe clogged.,The sink clogged.,clog,clogged,True,0.0,0,7,7,0,124645632
It was an icy cold.,It was a chest cold.,cold,cold,False,0.0,0,8,8,0,124645632
It was an icy cold.,It was a common cold.,cold,cold,False,0.0,0,8,8,0,124645632
It was a freezing cold.,It was a chest cold.,cold,cold,False,0.0,0,8,8,0,124645632
It was a freezing cold.,It was a common cold.,cold,cold,False,0.0,0,8,8,0,124645632
It was an icy cold.,It was a freezing cold.,cold,cold,True,0.0,0,8,8,0,124645632
It was a chest cold.,It was a common cold.,cold,cold,True,0.0,0,8,8,0,124645632
It was a gossip column.,It was a concrete column.,column,column,False,0.0,0,8,8,0,124645632
It was a gossip column.,It was a marble column.,column,column,False,0.0,0,8,8,0,124645632
It was a sports column.,It was a concrete column.,column,column,False,0.0,0,8,8,0,124645632
It was a sports column.,It was a marble column.,column,column,False,0.0,0,8,8,0,124645632
It was a gossip column.,It was a sports column.,column,column,True,0.0,0,8,8,0,124645632
It was a concrete column.,It was a marble column.,column,column,True,0.0,0,8,8,0,124645632
He liked the investment company.,He liked the pleasant company.,company,company,False,6.412239184072632e-09,0,8,8,0,124645632
He liked the investment company.,He liked the polite company.,company,company,False,6.412239184072632e-09,0,8,8,0,124645632
He liked the pharmaceutical company.,He liked the pleasant company.,company,company,False,6.412239184072632e-09,0,8,8,0,124645632
He liked the pharmaceutical company.,He liked the polite company.,company,company,False,6.412239184072632e-09,0,8,8,0,124645632
He liked the investment company.,He liked the pharmaceutical company.,company,company,True,6.412239184072632e-09,0,8,8,0,124645632
He liked the pleasant company.,He liked the polite company.,company,company,True,6.412239184072632e-09,0,8,8,0,124645632
It was a waffle cone.,It was an orange cone.,cone,cone,False,0.007020856603074388,0,9,8,1,124645632
It was a waffle cone.,It was a traffic cone.,cone,cone,False,0.007020856603074388,0,9,8,1,124645632
It was a sugar cone.,It was an orange cone.,cone,cone,False,5.7321047908232e-09,0,8,8,0,124645632
It was a sugar cone.,It was a traffic cone.,cone,cone,False,5.7321047908232e-09,0,8,8,0,124645632
It was a waffle cone.,It was a sugar cone.,cone,cone,True,0.007020856603074388,0,9,8,1,124645632
It was an orange cone.,It was a traffic cone.,cone,cone,True,5.7321047908232e-09,0,8,8,0,124645632
He made a charitable contribution.,He made a scholarly contribution.,contribution,contribution,False,4.1158687569264885e-09,0,8,8,0,124645632
He made a charitable contribution.,He made a well-written contribution.,contribution,contribution,False,0.030860306105268354,0,8,10,2,124645632
He made a voluntary contribution.,He made a scholarly contribution.,contribution,contribution,False,4.1158687569264885e-09,0,8,8,0,124645632
He made a voluntary contribution.,He made a well-written contribution.,contribution,contribution,False,0.030860306105268354,0,8,10,2,124645632
He made a charitable contribution.,He made a voluntary contribution.,contribution,contribution,True,4.1158687569264885e-09,0,8,8,0,124645632
He made a scholarly contribution.,He made a well-written contribution.,contribution,contribution,True,0.030860306105268354,0,8,10,2,124645632
That was the noble count.,That was the final count.,count,count,False,1.7948872388373616e-09,0,8,8,0,124645632
That was the noble count.,That was the correct count.,count,count,False,1.7948872388373616e-09,0,8,8,0,124645632
That was the vengeful count.,That was the final count.,count,count,False,0.02491761076858423,0,10,8,2,124645632
That was the vengeful count.,That was the correct count.,count,count,False,0.02491761076858423,0,10,8,2,124645632
That was the noble count.,That was the vengeful count.,count,count,True,0.02491761076858423,0,8,10,2,124645632
That was the final count.,That was the correct count.,count,count,True,1.7948872388373616e-09,0,8,8,0,124645632
It was an introductory course.,It was a charted course.,course,course,False,0.009032306436131399,0,8,9,1,124645632
It was an introductory course.,It was a collision course.,course,course,False,0.0,0,8,8,0,124645632
It was a pass-fail course.,It was a charted course.,course,course,False,0.009220097921400106,0,10,9,1,124645632
It was a pass-fail course.,It was a collision course.,course,course,False,0.03036216955059079,0,10,8,2,124645632
It was an introductory course.,It was a pass-fail course.,course,course,True,0.03036216955059079,0,8,10,2,124645632
It was a charted course.,It was a collision course.,course,course,True,0.009032306436131399,0,9,8,1,124645632
He crossed a road.,He crossed an enemy.,cross,crossed,False,1.4284594396229977e-08,0,7,7,0,124645632
He crossed a road.,He crossed a friend.,cross,crossed,False,1.4284594396229977e-08,0,7,7,0,124645632
He crossed a room.,He crossed an enemy.,cross,crossed,False,1.4284594396229977e-08,0,7,7,0,124645632
He crossed a room.,He crossed a friend.,cross,crossed,False,1.4284594396229977e-08,0,7,7,0,124645632
He crossed a road.,He crossed a room.,cross,crossed,True,1.4284594396229977e-08,0,7,7,0,124645632
He crossed an enemy.,He crossed a friend.,cross,crossed,True,1.4284594396229977e-08,0,7,7,0,124645632
It was a dinner date.,It was an expiration date.,date,date,False,0.0,0,8,8,0,124645632
It was a dinner date.,It was a historical date.,date,date,False,0.0,0,8,8,0,124645632
It was a blind date.,It was an expiration date.,date,date,False,0.0,0,8,8,0,124645632
It was a blind date.,It was a historical date.,date,date,False,0.0,0,8,8,0,124645632
It was a dinner date.,It was a blind date.,date,date,True,0.0,0,8,8,0,124645632
It was an expiration date.,It was a historical date.,date,date,True,0.0,0,8,8,0,124645632
It was about forty degrees.,It was about associate degrees.,degree,degrees,False,0.0,0,8,8,0,124645632
It was about forty degrees.,It was about college degrees.,degree,degrees,False,0.0,0,8,8,0,124645632
It was about fifty degrees.,It was about associate degrees.,degree,degrees,False,0.0,0,8,8,0,124645632
It was about fifty degrees.,It was about college degrees.,degree,degrees,False,0.0,0,8,8,0,124645632
It was about forty degrees.,It was about fifty degrees.,degree,degrees,True,0.0,0,8,8,0,124645632
It was about associate degrees.,It was about college degrees.,degree,degrees,True,0.0,0,8,8,0,124645632
They liked the floral design.,They liked the product design.,design,design,False,0.0,0,8,8,0,124645632
They liked the floral design.,They liked the architectural design.,design,design,False,0.0,0,8,8,0,124645632
They liked the geometric design.,They liked the product design.,design,design,False,0.0,0,8,8,0,124645632
They liked the geometric design.,They liked the architectural design.,design,design,False,0.0,0,8,8,0,124645632
They liked the floral design.,They liked the geometric design.,design,design,True,0.0,0,8,8,0,124645632
They liked the product design.,They liked the architectural design.,design,design,True,0.0,0,8,8,0,124645632
They liked the turkey dinner.,They liked the formal dinner.,dinner,dinner,False,0.0,0,8,8,0,124645632
They liked the turkey dinner.,They liked the anniversary dinner.,dinner,dinner,False,0.0,0,8,8,0,124645632
They liked the light dinner.,They liked the formal dinner.,dinner,dinner,False,0.0,0,8,8,0,124645632
They liked the light dinner.,They liked the anniversary dinner.,dinner,dinner,False,0.0,0,8,8,0,124645632
They liked the turkey dinner.,They liked the light dinner.,dinner,dinner,True,0.0,0,8,8,0,124645632
They liked the formal dinner.,They liked the anniversary dinner.,dinner,dinner,True,0.0,0,8,8,0,124645632
They drained the account.,They drained the pool.,drain,drained,False,0.0,0,7,7,0,124645632
They drained the account.,They drained the pond.,drain,drained,False,0.0,0,7,7,0,124645632
They drained the budget.,They drained the pool.,drain,drained,False,0.0,0,7,7,0,124645632
They drained the budget.,They drained the pond.,drain,drained,False,0.0,0,7,7,0,124645632
They drained the account.,They drained the budget.,drain,drained,True,0.0,0,7,7,0,124645632
They drained the pool.,They drained the pond.,drain,drained,True,0.0,0,7,7,0,124645632
He drew a gun.,He drew a tree.,draw,drew,False,0.0,0,7,7,0,124645632
He drew a gun.,They drew a picture.,draw,drew,False,0.0,0,7,7,0,124645632
He drew a sword.,He drew a tree.,draw,drew,False,0.0,0,7,7,0,124645632
He drew a sword.,They drew a picture.,draw,drew,False,0.0,0,7,7,0,124645632
He drew a gun.,He drew a sword.,draw,drew,True,0.0,0,7,7,0,124645632
He drew a tree.,They drew a picture.,draw,drew,True,0.0,0,7,7,0,124645632
He had a recurring dream.,He had a childhood dream.,dream,dream,False,0.0,0,8,8,0,124645632
He had a recurring dream.,He had a career dream.,dream,dream,False,0.0,0,8,8,0,124645632
He had a bad dream.,He had a childhood dream.,dream,dream,False,0.0,0,8,8,0,124645632
He had a bad dream.,He had a career dream.,dream,dream,False,0.0,0,8,8,0,124645632
He had a recurring dream.,He had a bad dream.,dream,dream,True,0.0,0,8,8,0,124645632
He had a childhood dream.,He had a career dream.,dream,dream,True,0.0,0,8,8,0,124645632
It was a grueling drill.,It was an electric drill.,drill,drill,False,0.007040894566815115,0,9,8,1,124645632
It was a grueling drill.,It was a battery-powered drill.,drill,drill,False,0.007180409129502463,0,9,10,1,124645632
It was a challenging drill.,It was an electric drill.,drill,drill,False,1.4024938654877417e-08,0,8,8,0,124645632
It was a challenging drill.,It was a battery-powered drill.,drill,drill,False,0.023654522784140264,0,8,10,2,124645632
It was a grueling drill.,It was a challenging drill.,drill,drill,True,0.007040894566815115,0,9,8,1,124645632
It was an electric drill.,It was a battery-powered drill.,drill,drill,True,0.023654522784140264,0,8,10,2,124645632
It was a multiple-choice examination.,It was a prostate examination.,examination,examination,False,0.026750347989890844,0,10,8,2,124645632
It was a multiple-choice examination.,It was a physical examination.,examination,examination,False,0.026750347989890844,0,10,8,2,124645632
It was a difficult examination.,It was a prostate examination.,examination,examination,False,2.6045173129318755e-08,0,8,8,0,124645632
It was a difficult examination.,It was a physical examination.,examination,examination,False,2.6045173129318755e-08,0,8,8,0,124645632
It was a multiple-choice examination.,It was a difficult examination.,examination,examination,True,0.026750347989890844,0,10,8,2,124645632
It was a prostate examination.,It was a physical examination.,examination,examination,True,2.6045173129318755e-08,0,8,8,0,124645632
They had an electric fan.,They had a zealous fan.,fan,fan,False,0.008470657347736887,0,8,9,1,124645632
They had an electric fan.,They had an enthusiastic fan.,fan,fan,False,0.0,0,8,8,0,124645632
They had a ceiling fan.,They had a zealous fan.,fan,fan,False,0.008470657347736887,0,8,9,1,124645632
They had a ceiling fan.,They had an enthusiastic fan.,fan,fan,False,0.0,0,8,8,0,124645632
They had an electric fan.,They had a ceiling fan.,fan,fan,True,0.0,0,8,8,0,124645632
They had a zealous fan.,They had an enthusiastic fan.,fan,fan,True,0.008470657347736887,0,9,8,1,124645632
She had a text file.,She had a nail file.,file,file,False,1.452540387969492e-08,0,8,8,0,124645632
She had a text file.,She had a steel file.,file,file,False,1.452540387969492e-08,0,8,8,0,124645632
She had a data file.,She had a nail file.,file,file,False,1.452540387969492e-08,0,8,8,0,124645632
She had a data file.,She had a steel file.,file,file,False,1.452540387969492e-08,0,8,8,0,124645632
She had a text file.,She had a data file.,file,file,True,1.452540387969492e-08,0,8,8,0,124645632
She had a nail file.,She had a steel file.,file,file,True,1.452540387969492e-08,0,8,8,0,124645632
It was an action film.,It was a transparent film.,film,film,False,0.0,0,8,8,0,124645632
It was an action film.,It was a plastic film.,film,film,False,0.0,0,8,8,0,124645632
It was a censored film.,It was a transparent film.,film,film,False,0.0,0,8,8,0,124645632
It was a censored film.,It was a plastic film.,film,film,False,0.0,0,8,8,0,124645632
It was an action film.,It was a censored film.,film,film,True,0.0,0,8,8,0,124645632
It was a transparent film.,It was a plastic film.,film,film,True,0.0,0,8,8,0,124645632
They fixed the radio.,They fixed the date.,fix,fixed,False,4.51048309813018e-10,0,7,7,0,124645632
They fixed the radio.,They fixed the price.,fix,fixed,False,4.51048309813018e-10,0,7,7,0,124645632
They fixed the dishwasher.,They fixed the date.,fix,fixed,False,4.51048309813018e-10,0,8,7,1,124645632
They fixed the dishwasher.,They fixed the price.,fix,fixed,False,4.51048309813018e-10,0,8,7,1,124645632
They fixed the radio.,They fixed the dishwasher.,fix,fixed,True,4.51048309813018e-10,0,7,8,1,124645632
They fixed the date.,They fixed the price.,fix,fixed,True,4.51048309813018e-10,0,7,7,0,124645632
It was a charitable foundation.,It was a wooden foundation.,foundation,foundation,False,0.0,0,8,8,0,124645632
It was a charitable foundation.,It was a concrete foundation.,foundation,foundation,False,0.0,0,8,8,0,124645632
It was an educational foundation.,It was a wooden foundation.,foundation,foundation,False,0.0,0,8,8,0,124645632
It was an educational foundation.,It was a concrete foundation.,foundation,foundation,False,0.0,0,8,8,0,124645632
It was a charitable foundation.,It was an educational foundation.,foundation,foundation,True,0.0,0,8,8,0,124645632
It was a wooden foundation.,It was a concrete foundation.,foundation,foundation,True,0.0,0,8,8,0,124645632
It was a mathematical function.,It was a social function.,function,function,False,1.593233267538352e-08,0,8,8,0,124645632
It was a mathematical function.,It was a business function.,function,function,False,1.593233267538352e-08,0,8,8,0,124645632
It was a linear function.,It was a social function.,function,function,False,1.593233267538352e-08,0,8,8,0,124645632
It was a linear function.,It was a business function.,function,function,False,1.593233267538352e-08,0,8,8,0,124645632
