sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
It was a gold band.,It was a country band.,band,band,False,7.327862761030701e-10,0,8,8,0,177853440
It was a rubber band.,It was a jazz band.,band,band,False,7.327862761030701e-10,0,8,8,0,177853440
It was a rubber band.,It was a country band.,band,band,False,7.327862761030701e-10,0,8,8,0,177853440
It was a gold band.,It was a rubber band.,band,band,True,7.327862761030701e-10,0,8,8,0,177853440
It was a jazz band.,It was a country band.,band,band,True,7.327862761030701e-10,0,8,8,0,177853440
He banked the plane.,He banked the money.,bank,banked,False,0.0,0,8,8,0,177853440
He banked the plane.,He banked the cash.,bank,banked,False,0.0,0,8,8,0,177853440
He banked the helicopter.,He banked the money.,bank,banked,False,0.0,0,8,8,0,177853440
He banked the helicopter.,He banked the cash.,bank,banked,False,0.0,0,8,8,0,177853440
He banked the plane.,He banked the helicopter.,bank,banked,True,0.0,0,8,8,0,177853440
He banked the money.,He banked the cash.,bank,banked,True,0.0,0,8,8,0,177853440
There was a police barrier.,There was a language barrier.,barrier,barrier,False,0.0,0,8,8,0,177853440
There was a police barrier.,There was a religious barrier.,barrier,barrier,False,0.0,0,8,8,0,177853440
There was a concrete barrier.,There was a language barrier.,barrier,barrier,False,0.0,0,8,8,0,177853440
There was a concrete barrier.,There was a religious barrier.,barrier,barrier,False,0.0,0,8,8,0,177853440
There was a police barrier.,There was a concrete barrier.,barrier,barrier,True,0.0,0,8,8,0,177853440
There was a language barrier.,There was a religious barrier.,barrier,barrier,True,0.0,0,8,8,0,177853440
He saw a furry bat.,He saw a wooden bat.,bat,bat,False,0.01664955878517016,0,9,8,1,177853440
He saw a furry bat.,He saw a baseball bat.,bat,bat,False,0.01664955878517016,0,9,8,1,177853440
He saw a fruit bat.,He saw a wooden bat.,bat,bat,False,0.0,0,8,8,0,177853440
He saw a fruit bat.,He saw a baseball bat.,bat,bat,False,0.0,0,8,8,0,177853440
He saw a furry bat.,He saw a fruit bat.,bat,bat,True,0.01664955878517016,0,9,8,1,177853440
He saw a wooden bat.,He saw a baseball bat.,bat,bat,True,0.0,0,8,8,0,177853440
He saw the laser beam.,He saw the wood beam.,beam,beam,False,1.2614941313771055e-09,0,8,8,0,177853440
He saw the laser beam.,He saw the balance beam.,beam,beam,False,1.2614941313771055e-09,0,8,8,0,177853440
He saw the bright beam.,He saw the wood beam.,beam,beam,False,1.2614941313771055e-09,0,8,8,0,177853440
He saw the bright beam.,He saw the balance beam.,beam,beam,False,1.2614941313771055e-09,0,8,8,0,177853440
He saw the laser beam.,He saw the bright beam.,beam,beam,True,1.2614941313771055e-09,0,8,8,0,177853440
He saw the wood beam.,He saw the balance beam.,beam,beam,True,1.2614941313771055e-09,0,8,8,0,177853440
She had a toy block.,She had a mental block.,block,block,False,0.0,0,8,8,0,177853440
She had a toy block.,She had a writer's block.,block,block,False,0.026247338330817716,0,8,10,2,177853440
She had a wooden block.,She had a mental block.,block,block,False,0.0,0,8,8,0,177853440
She had a wooden block.,She had a writer's block.,block,block,False,0.026247338330817716,0,8,10,2,177853440
She had a toy block.,She had a wooden block.,block,block,True,0.0,0,8,8,0,177853440
She had a mental block.,She had a writer's block.,block,block,True,0.026247338330817716,0,8,10,2,177853440
He has coagulated blood.,He has noble blood.,blood,blood,False,0.029013807848468187,0,9,7,2,177853440
He has coagulated blood.,He has royal blood.,blood,blood,False,0.029013807848468187,0,9,7,2,177853440
He has thin blood.,He has noble blood.,blood,blood,False,9.363158248731906e-09,0,7,7,0,177853440
He has thin blood.,He has royal blood.,blood,blood,False,9.363158248731906e-09,0,7,7,0,177853440
He has coagulated blood.,He has thin blood.,blood,blood,True,0.029013807848468187,0,9,7,2,177853440
He has noble blood.,He has royal blood.,blood,blood,True,9.363158248731906e-09,0,7,7,0,177853440
It was the ironing board.,It was the executive board.,board,board,False,0.01593940150420825,0,9,8,1,177853440
It was the ironing board.,It was the school board.,board,board,False,0.01593940150420825,0,9,8,1,177853440
It was the wooden board.,It was the executive board.,board,board,False,0.0,0,8,8,0,177853440
It was the wooden board.,It was the school board.,board,board,False,0.0,0,8,8,0,177853440
It was the ironing board.,It was the wooden board.,board,board,True,0.01593940150420825,0,9,8,1,177853440
It was the executive board.,It was the school board.,board,board,True,0.0,0,8,8,0,177853440
He had a best-selling book.,He had a heavy book.,book,book,False,0.03481706977760057,0,10,8,2,177853440
He had a best-selling book.,He had a leather-bound book.,book,book,False,0.020309943313303935,0,10,11,1,177853440
He had a popular book.,He had a heavy book.,book,book,False,0.0,0,8,8,0,177853440
He had a popular book.,He had a leather-bound book.,book,book,False,0.03186062384201027,0,8,11,3,177853440
He had a best-selling book.,He had a popular book.,book,book,True,0.03481706977760057,0,10,8,2,177853440
He had a heavy book.,He had a leather-bound book.,book,book,True,0.03186062384201027,0,8,11,3,177853440
He broke the glass.,He broke the law.,break,broke,False,1.1873319882838018e-08,0,7,7,0,177853440
He broke the glass.,He broke the promise.,break,broke,False,1.1873319882838018e-08,0,7,7,0,177853440
He broke the dish.,He broke the law.,break,broke,False,1.1873319882838018e-08,0,8,7,1,177853440
He broke the dish.,He broke the promise.,break,broke,False,1.1873319882838018e-08,0,8,7,1,177853440
He broke the glass.,He broke the dish.,break,broke,True,1.1873319882838018e-08,0,7,8,1,177853440
He broke the law.,He broke the promise.,break,broke,True,1.1873319882838018e-08,0,7,7,0,177853440
They ate a pancake breakfast.,They ate a family breakfast.,breakfast,breakfast,False,0.025350551642788988,0,12,10,2,177853440
They ate a pancake breakfast.,They ate a lonely breakfast.,breakfast,breakfast,False,1.330267174193267e-08,0,12,12,0,177853440
They ate a nutritious breakfast.,They ate a family breakfast.,breakfast,breakfast,False,0.03553305318688149,0,13,10,3,177853440
They ate a nutritious breakfast.,They ate a lonely breakfast.,breakfast,breakfast,False,0.010950948811988881,0,13,12,1,177853440
They ate a pancake breakfast.,They ate a nutritious breakfast.,breakfast,breakfast,True,0.010950948811988881,0,12,13,1,177853440
They ate a family breakfast.,They ate a lonely breakfast.,breakfast,breakfast,True,0.025350551642788988,0,10,12,2,177853440
They called the landlord.,They called the loan.,call,called,False,0.0,0,8,7,1,177853440
They called the landlord.,They called the debt.,call,called,False,0.0,0,8,7,1,177853440
They called the police.,They called the loan.,call,called,False,0.0,0,7,7,0,177853440
They called the police.,They called the debt.,call,called,False,0.0,0,7,7,0,177853440
They called the landlord.,They called the police.,call,called,True,0.0,0,8,7,1,177853440
They called the loan.,They called the debt.,call,called,True,0.0,0,7,7,0,177853440
It was a red cape.,It was a rocky cape.,cape,cape,False,0.01676431719948901,0,9,10,1,177853440
It was a red cape.,It was an island cape.,cape,cape,False,9.772929132623176e-10,0,9,9,0,177853440
It was a flowing cape.,It was a rocky cape.,cape,cape,False,0.01676431719948901,0,9,10,1,177853440
It was a flowing cape.,It was an island cape.,cape,cape,False,9.772929132623176e-10,0,9,9,0,177853440
It was a red cape.,It was a flowing cape.,cape,cape,True,9.772929132623176e-10,0,9,9,0,177853440
It was a rocky cape.,It was an island cape.,cape,cape,True,0.01676431719948901,0,10,9,1,177853440
It was a beer case.,It was a divorce case.,case,case,False,0.0,0,8,8,0,177853440
It was a beer case.,It was a criminal case.,case,case,False,0.0,0,8,8,0,177853440
It was a display case.,It was a divorce case.,case,case,False,0.0,0,8,8,0,177853440
It was a display case.,It was a criminal case.,case,case,False,0.0,0,8,8,0,177853440
It was a beer case.,It was a display case.,case,case,True,0.0,0,8,8,0,177853440
It was a divorce case.,It was a criminal case.,case,case,True,0.0,0,8,8,0,177853440
She cast a shadow.,She cast a spear.,cast,cast,False,0.0,0,8,8,0,177853440
She cast a shadow.,She cast a stone.,cast,cast,False,0.0,0,8,7,1,177853440
She cast a glow.,She cast a spear.,cast,cast,False,0.0,0,8,8,0,177853440
She cast a glow.,She cast a stone.,cast,cast,False,0.0,0,8,7,1,177853440
She cast a shadow.,She cast a glow.,cast,cast,True,0.0,0,8,8,0,177853440
She cast a spear.,She cast a stone.,cast,cast,True,0.0,0,8,7,1,177853440
It was a worthy cause.,It was a main cause.,cause,cause,False,0.01432049477604802,0,9,8,1,177853440
It was a worthy cause.,It was a primary cause.,cause,cause,False,0.01432049477604802,0,9,8,1,177853440
It was a political cause.,It was a main cause.,cause,cause,False,3.2137555949773855e-09,0,8,8,0,177853440
It was a political cause.,It was a primary cause.,cause,cause,False,3.2137555949773855e-09,0,8,8,0,177853440
It was a worthy cause.,It was a political cause.,cause,cause,True,0.01432049477604802,0,9,8,1,177853440
It was a main cause.,It was a primary cause.,cause,cause,True,3.2137555949773855e-09,0,8,8,0,177853440
It was a skin cell.,It was a prison cell.,cell,cell,False,0.0,0,8,8,0,177853440
It was a skin cell.,It was a jail cell.,cell,cell,False,0.0,0,8,8,0,177853440
It was a brain cell.,It was a prison cell.,cell,cell,False,0.0,0,8,8,0,177853440
It was a brain cell.,It was a jail cell.,cell,cell,False,0.0,0,8,8,0,177853440
It was a skin cell.,It was a brain cell.,cell,cell,True,0.0,0,8,8,0,177853440
It was a prison cell.,It was a jail cell.,cell,cell,True,0.0,0,8,8,0,177853440
She had a devilish charm.,She had a gold charm.,charm,charm,False,0.0386386443394553,0,11,9,2,177853440
She had a devilish charm.,She had a good-luck charm.,charm,charm,False,0.016979979636769782,0,11,12,1,177853440
She had a natural charm.,She had a gold charm.,charm,charm,False,1.336777799565425e-09,0,9,9,0,177853440
She had a natural charm.,She had a good-luck charm.,charm,charm,False,0.05304247757844449,0,9,12,3,177853440
She had a devilish charm.,She had a natural charm.,charm,charm,True,0.0386386443394553,0,11,9,2,177853440
She had a gold charm.,She had a good-luck charm.,charm,charm,True,0.05304247757844449,0,9,12,3,177853440
He checked the engine.,He checked the alibi.,check,checked,False,0.0,0,8,9,1,177853440
He checked the engine.,He checked the facts.,check,checked,False,0.0,0,8,8,0,177853440
He checked the oven.,He checked the alibi.,check,checked,False,0.0,0,9,9,0,177853440
He checked the oven.,He checked the facts.,check,checked,False,0.0,0,9,8,1,177853440
He checked the engine.,He checked the oven.,check,checked,True,0.0,0,8,9,1,177853440
He checked the alibi.,He checked the facts.,check,checked,True,0.0,0,9,8,1,177853440
They liked the juicy chicken.,They liked the clucking chicken.,chicken,chicken,False,0.013929729025301985,0,11,12,1,177853440
They liked the juicy chicken.,They liked the pet chicken.,chicken,chicken,False,0.013594194187574016,0,11,10,1,177853440
They liked the roasted chicken.,They liked the clucking chicken.,chicken,chicken,False,2.8745152036435684e-08,0,12,12,0,177853440
They liked the roasted chicken.,They liked the pet chicken.,chicken,chicken,False,0.030725685161911653,0,12,10,2,177853440
They liked the juicy chicken.,They liked the roasted chicken.,chicken,chicken,True,0.013929729025301985,0,11,12,1,177853440
They liked the clucking chicken.,They liked the pet chicken.,chicken,chicken,True,0.030725685161911653,0,12,10,2,177853440
It was a perceptive class.,It was a boring class.,class,class,False,0.015875651939934565,0,10,9,1,177853440
It was a perceptive class.,It was a stimulating class.,class,class,False,1.58319546361696e-08,0,10,10,0,177853440
It was a misbehaving class.,It was a boring class.,class,class,False,0.025237684091146906,0,11,9,2,177853440
It was a misbehaving class.,It was a stimulating class.,class,class,False,0.014692184193852653,0,11,10,1,177853440
It was a perceptive class.,It was a misbehaving class.,class,class,True,0.014692184193852653,0,10,11,1,177853440
It was a boring class.,It was a stimulating class.,class,class,True,0.015875651939934565,0,9,10,1,177853440
He cleared the desk.,He cleared the path.,clear,cleared,False,0.0,0,8,7,1,177853440
He cleared the desk.,He cleared the road.,clear,cleared,False,0.0,0,8,7,1,177853440
He cleared the shelf.,He cleared the path.,clear,cleared,False,0.0,0,8,7,1,177853440
He cleared the shelf.,He cleared the road.,clear,cleared,False,0.0,0,8,7,1,177853440
He cleared the desk.,He cleared the shelf.,clear,cleared,True,0.0,0,8,8,0,177853440
He cleared the path.,He cleared the road.,clear,cleared,True,0.0,0,7,7,0,177853440
It was a film clip.,It was a hair clip.,clip,clip,False,3.6520160229258636e-09,0,8,8,0,177853440
It was a film clip.,It was a metal clip.,clip,clip,False,3.6520160229258636e-09,0,8,8,0,177853440
It was a video clip.,It was a hair clip.,clip,clip,False,3.6520160229258636e-09,0,8,8,0,177853440
It was a video clip.,It was a metal clip.,clip,clip,False,3.6520160229258636e-09,0,8,8,0,177853440
It was a film clip.,It was a video clip.,clip,clip,True,3.6520160229258636e-09,0,8,8,0,177853440
It was a hair clip.,It was a metal clip.,clip,clip,True,3.6520160229258636e-09,0,8,8,0,177853440
The dancer clogged.,The pipe clogged.,clog,clogged,False,1.0646487913490432e-08,0,8,8,0,177853440
The dancer clogged.,The sink clogged.,clog,clogged,False,0.007206125596184942,0,8,9,1,177853440
The choreographer clogged.,The pipe clogged.,clog,clogged,False,0.025169392771345667,0,10,8,2,177853440
The choreographer clogged.,The sink clogged.,clog,clogged,False,0.007338814329922783,0,10,9,1,177853440
The dancer clogged.,The choreographer clogged.,clog,clogged,True,0.025169392771345667,0,8,10,2,177853440
The pipe clogged.,The sink clogged.,clog,clogged,True,0.007206125596184942,0,8,9,1,177853440
It was an icy cold.,It was a chest cold.,cold,cold,False,0.020153114922627946,0,9,8,1,177853440
It was an icy cold.,It was a common cold.,cold,cold,False,0.020153114922627946,0,9,8,1,177853440
It was a freezing cold.,It was a chest cold.,cold,cold,False,0.020153114922627946,0,9,8,1,177853440
It was a freezing cold.,It was a common cold.,cold,cold,False,0.020153114922627946,0,9,8,1,177853440
It was an icy cold.,It was a freezing cold.,cold,cold,True,0.0,0,9,9,0,177853440
It was a chest cold.,It was a common cold.,cold,cold,True,0.0,0,8,8,0,177853440
It was a gossip column.,It was a concrete column.,column,column,False,0.02334898005789432,0,10,8,2,177853440
It was a gossip column.,It was a marble column.,column,column,False,0.02334898005789432,0,10,8,2,177853440
It was a sports column.,It was a concrete column.,column,column,False,0.0,0,8,8,0,177853440
It was a sports column.,It was a marble column.,column,column,False,0.0,0,8,8,0,177853440
It was a gossip column.,It was a sports column.,column,column,True,0.02334898005789432,0,10,8,2,177853440
It was a concrete column.,It was a marble column.,column,column,True,0.0,0,8,8,0,177853440
He liked the investment company.,He liked the pleasant company.,company,company,False,0.0332087647800432,0,9,11,2,177853440
He liked the investment company.,He liked the polite company.,company,company,False,0.020845779705370826,0,9,10,1,177853440
He liked the pharmaceutical company.,He liked the pleasant company.,company,company,False,0.019359351882993092,0,10,11,1,177853440
He liked the pharmaceutical company.,He liked the polite company.,company,company,False,7.104198118668137e-09,0,10,10,0,177853440
He liked the investment company.,He liked the pharmaceutical company.,company,company,True,0.020845779705370826,0,9,10,1,177853440
He liked the pleasant company.,He liked the polite company.,company,company,True,0.019359351882993092,0,11,10,1,177853440
It was a waffle cone.,It was an orange cone.,cone,cone,False,0.01876250719688144,0,10,9,1,177853440
It was a waffle cone.,It was a traffic cone.,cone,cone,False,0.01876250719688144,0,10,9,1,177853440
It was a sugar cone.,It was an orange cone.,cone,cone,False,1.571532770583417e-08,0,9,9,0,177853440
It was a sugar cone.,It was a traffic cone.,cone,cone,False,1.571532770583417e-08,0,9,9,0,177853440
It was a waffle cone.,It was a sugar cone.,cone,cone,True,0.01876250719688144,0,10,9,1,177853440
It was an orange cone.,It was a traffic cone.,cone,cone,True,1.571532770583417e-08,0,9,9,0,177853440
He made a charitable contribution.,He made a scholarly contribution.,contribution,contribution,False,0.0,0,9,9,0,177853440
He made a charitable contribution.,He made a well-written contribution.,contribution,contribution,False,0.01659523516482686,0,9,10,1,177853440
He made a voluntary contribution.,He made a scholarly contribution.,contribution,contribution,False,0.0,0,9,9,0,177853440
He made a voluntary contribution.,He made a well-written contribution.,contribution,contribution,False,0.01659523516482686,0,9,10,1,177853440
He made a charitable contribution.,He made a voluntary contribution.,contribution,contribution,True,0.0,0,9,9,0,177853440
He made a scholarly contribution.,He made a well-written contribution.,contribution,contribution,True,0.01659523516482686,0,9,10,1,177853440
That was the noble count.,That was the final count.,count,count,False,0.0,0,8,8,0,177853440
That was the noble count.,That was the correct count.,count,count,False,0.0,0,8,8,0,177853440
That was the vengeful count.,That was the final count.,count,count,False,0.025231668244522054,0,10,8,2,177853440
That was the vengeful count.,That was the correct count.,count,count,False,0.025231668244522054,0,10,8,2,177853440
That was the noble count.,That was the vengeful count.,count,count,True,0.025231668244522054,0,8,10,2,177853440
That was the final count.,That was the correct count.,count,count,True,0.0,0,8,8,0,177853440
It was an introductory course.,It was a charted course.,course,course,False,0.01549170295955904,0,10,9,1,177853440
It was an introductory course.,It was a collision course.,course,course,False,0.02460664805769386,0,10,8,2,177853440
It was a pass-fail course.,It was a charted course.,course,course,False,0.01549170295955904,0,10,9,1,177853440
It was a pass-fail course.,It was a collision course.,course,course,False,0.02460664805769386,0,10,8,2,177853440
It was an introductory course.,It was a pass-fail course.,course,course,True,1.1711471237241255e-08,0,10,10,0,177853440
It was a charted course.,It was a collision course.,course,course,True,0.015205456542761397,0,9,8,1,177853440
He crossed a road.,He crossed an enemy.,cross,crossed,False,0.0,0,7,7,0,177853440
He crossed a road.,He crossed a friend.,cross,crossed,False,0.0,0,7,7,0,177853440
He crossed a room.,He crossed an enemy.,cross,crossed,False,0.0,0,7,7,0,177853440
He crossed a room.,He crossed a friend.,cross,crossed,False,0.0,0,7,7,0,177853440
He crossed a road.,He crossed a room.,cross,crossed,True,0.0,0,7,7,0,177853440
He crossed an enemy.,He crossed a friend.,cross,crossed,True,0.0,0,7,7,0,177853440
It was a dinner date.,It was an expiration date.,date,date,False,0.02429638854514604,0,8,10,2,177853440
It was a dinner date.,It was a historical date.,date,date,False,0.0,0,8,8,0,177853440
It was a blind date.,It was an expiration date.,date,date,False,0.02429638854514604,0,8,10,2,177853440
It was a blind date.,It was a historical date.,date,date,False,0.0,0,8,8,0,177853440
It was a dinner date.,It was a blind date.,date,date,True,0.0,0,8,8,0,177853440
It was an expiration date.,It was a historical date.,date,date,True,0.02429638854514604,0,10,8,2,177853440
It was about forty degrees.,It was about associate degrees.,degree,degrees,False,0.0,0,8,8,0,177853440
It was about forty degrees.,It was about college degrees.,degree,degrees,False,0.0,0,8,8,0,177853440
It was about fifty degrees.,It was about associate degrees.,degree,degrees,False,0.0,0,8,8,0,177853440
It was about fifty degrees.,It was about college degrees.,degree,degrees,False,0.0,0,8,8,0,177853440
It was about forty degrees.,It was about fifty degrees.,degree,degrees,True,0.0,0,8,8,0,177853440
It was about associate degrees.,It was about college degrees.,degree,degrees,True,0.0,0,8,8,0,177853440
They liked the floral design.,They liked the product design.,design,design,False,0.018755508839124024,0,10,9,1,177853440
They liked the floral design.,They liked the architectural design.,design,design,False,0.018755508839124024,0,10,9,1,177853440
They liked the geometric design.,They liked the product design.,design,design,False,0.029860518098554945,0,11,9,2,177853440
They liked the geometric design.,They liked the architectural design.,design,design,False,0.029860518098554945,0,11,9,2,177853440
They liked the floral design.,They liked the geometric design.,design,design,True,0.01737945951705433,0,10,11,1,177853440
They liked the product design.,They liked the architectural design.,design,design,True,2.7055978568668593e-09,0,9,9,0,177853440
They liked the turkey dinner.,They liked the formal dinner.,dinner,dinner,False,0.02024865091409489,0,10,9,1,177853440
They liked the turkey dinner.,They liked the anniversary dinner.,dinner,dinner,False,0.02024865091409489,0,10,9,1,177853440
They liked the light dinner.,They liked the formal dinner.,dinner,dinner,False,0.0,0,9,9,0,177853440
They liked the light dinner.,They liked the anniversary dinner.,dinner,dinner,False,0.0,0,9,9,0,177853440
They liked the turkey dinner.,They liked the light dinner.,dinner,dinner,True,0.02024865091409489,0,10,9,1,177853440
They liked the formal dinner.,They liked the anniversary dinner.,dinner,dinner,True,0.0,0,9,9,0,177853440
They drained the account.,They drained the pool.,drain,drained,False,0.0,0,8,8,0,177853440
They drained the account.,They drained the pond.,drain,drained,False,0.0,0,8,8,0,177853440
They drained the budget.,They drained the pool.,drain,drained,False,0.0,0,8,8,0,177853440
They drained the budget.,They drained the pond.,drain,drained,False,0.0,0,8,8,0,177853440
They drained the account.,They drained the budget.,drain,drained,True,0.0,0,8,8,0,177853440
They drained the pool.,They drained the pond.,drain,drained,True,0.0,0,8,8,0,177853440
He drew a gun.,He drew a tree.,draw,drew,False,1.045362540974537e-08,0,7,7,0,177853440
He drew a gun.,They drew a picture.,draw,drew,False,1.045362540974537e-08,0,7,7,0,177853440
He drew a sword.,He drew a tree.,draw,drew,False,1.045362540974537e-08,0,7,7,0,177853440
He drew a sword.,They drew a picture.,draw,drew,False,1.045362540974537e-08,0,7,7,0,177853440
He drew a gun.,He drew a sword.,draw,drew,True,1.045362540974537e-08,0,7,7,0,177853440
He drew a tree.,They drew a picture.,draw,drew,True,1.045362540974537e-08,0,7,7,0,177853440
He had a recurring dream.,He had a childhood dream.,dream,dream,False,0.0,0,8,8,0,177853440
He had a recurring dream.,He had a career dream.,dream,dream,False,0.0,0,8,8,0,177853440
He had a bad dream.,He had a childhood dream.,dream,dream,False,0.0,0,8,8,0,177853440
He had a bad dream.,He had a career dream.,dream,dream,False,0.0,0,8,8,0,177853440
He had a recurring dream.,He had a bad dream.,dream,dream,True,0.0,0,8,8,0,177853440
He had a childhood dream.,He had a career dream.,dream,dream,True,0.0,0,8,8,0,177853440
It was a grueling drill.,It was an electric drill.,drill,drill,False,0.030577773692550103,0,11,9,2,177853440
It was a grueling drill.,It was a battery-powered drill.,drill,drill,False,0.0,0,11,11,0,177853440
It was a challenging drill.,It was an electric drill.,drill,drill,False,0.0,0,9,9,0,177853440
It was a challenging drill.,It was a battery-powered drill.,drill,drill,False,0.030577773692550103,0,9,11,2,177853440
It was a grueling drill.,It was a challenging drill.,drill,drill,True,0.030577773692550103,0,11,9,2,177853440
It was an electric drill.,It was a battery-powered drill.,drill,drill,True,0.030577773692550103,0,9,11,2,177853440
It was a multiple-choice examination.,It was a prostate examination.,examination,examination,False,0.015397695920259302,0,10,9,1,177853440
It was a multiple-choice examination.,It was a physical examination.,examination,examination,False,0.024499025190391155,0,10,8,2,177853440
It was a difficult examination.,It was a prostate examination.,examination,examination,False,0.015110778975217398,0,8,9,1,177853440
It was a difficult examination.,It was a physical examination.,examination,examination,False,2.686419531272577e-09,0,8,8,0,177853440
It was a multiple-choice examination.,It was a difficult examination.,examination,examination,True,0.024499025190391155,0,10,8,2,177853440
It was a prostate examination.,It was a physical examination.,examination,examination,True,0.015110778975217398,0,9,8,1,177853440
They had an electric fan.,They had a zealous fan.,fan,fan,False,0.02718616816414887,0,8,10,2,177853440
They had an electric fan.,They had an enthusiastic fan.,fan,fan,False,0.02485384913080546,0,8,11,3,177853440
They had a ceiling fan.,They had a zealous fan.,fan,fan,False,0.02718616816414887,0,8,10,2,177853440
They had a ceiling fan.,They had an enthusiastic fan.,fan,fan,False,0.02485384913080546,0,8,11,3,177853440
They had an electric fan.,They had a ceiling fan.,fan,fan,True,1.3339787718891216e-08,0,8,8,0,177853440
They had a zealous fan.,They had an enthusiastic fan.,fan,fan,True,0.015861449343353762,0,10,11,1,177853440
She had a text file.,She had a nail file.,file,file,False,0.01550361473138473,0,8,9,1,177853440
She had a text file.,She had a steel file.,file,file,False,0.0,0,8,8,0,177853440
She had a data file.,She had a nail file.,file,file,False,0.01550361473138473,0,8,9,1,177853440
She had a data file.,She had a steel file.,file,file,False,0.0,0,8,8,0,177853440
She had a text file.,She had a data file.,file,file,True,0.0,0,8,8,0,177853440
She had a nail file.,She had a steel file.,file,file,True,0.01550361473138473,0,9,8,1,177853440
It was an action film.,It was a transparent film.,film,film,False,1.506455182820332e-08,0,8,8,0,177853440
It was an action film.,It was a plastic film.,film,film,False,1.506455182820332e-08,0,8,8,0,177853440
It was a censored film.,It was a transparent film.,film,film,False,0.021124015803650864,0,9,8,1,177853440
It was a censored film.,It was a plastic film.,film,film,False,0.021124015803650864,0,9,8,1,177853440
It was an action film.,It was a censored film.,film,film,True,0.021124015803650864,0,8,9,1,177853440
It was a transparent film.,It was a plastic film.,film,film,True,1.506455182820332e-08,0,8,8,0,177853440
They fixed the radio.,They fixed the date.,fix,fixed,False,1.4035337780882173e-08,0,7,7,0,177853440
They fixed the radio.,They fixed the price.,fix,fixed,False,1.4035337780882173e-08,0,7,7,0,177853440
They fixed the dishwasher.,They fixed the date.,fix,fixed,False,1.4035337780882173e-08,0,9,7,2,177853440
They fixed the dishwasher.,They fixed the price.,fix,fixed,False,1.4035337780882173e-08,0,9,7,2,177853440
They fixed the radio.,They fixed the dishwasher.,fix,fixed,True,1.4035337780882173e-08,0,7,9,2,177853440
They fixed the date.,They fixed the price.,fix,fixed,True,1.4035337780882173e-08,0,7,7,0,177853440
It was a charitable foundation.,It was a wooden foundation.,foundation,foundation,False,0.016122515036524288,0,9,8,1,177853440
It was a charitable foundation.,It was a concrete foundation.,foundation,foundation,False,0.016122515036524288,0,9,8,1,177853440
It was an educational foundation.,It was a wooden foundation.,foundation,foundation,False,1.0758412605227363e-08,0,8,8,0,177853440
It was an educational foundation.,It was a concrete foundation.,foundation,foundation,False,1.0758412605227363e-08,0,8,8,0,177853440
It was a charitable foundation.,It was an educational foundation.,foundation,foundation,True,0.016122515036524288,0,9,8,1,177853440
